age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,24.21,75.79,0
12-15,65.5,54.4,14.3,0,51.84,39.82,8.34
16-19,89.3,78.1,45.6,0.1,69.03,20.08,10.89
20-29,85.7,76.9,54.4,0.6,74.18,13.91,11.9
30-39,89.1,81.9,59.4,1.6,77.55,11.26,11.19
40-49,90.6,84.6,66.7,2.6,81.73,9.4,8.87
50-59,91.1,86.3,72.9,5.2,84.81,7.55,7.64
60-69,92.8,89.8,80.2,30.2,87.76,7.11,5.13
70-79,90.9,89.4,85.9,48.9,91.62,4.23,4.15
80-89,90.8,89,83.4,51.2,89.09,4.79,6.13
90+,84.4,81.7,76.1,49.3,83.85,4.06,12.09
