age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,1528,0,2073,522.5,,226.6,0,0,2,0,,0.2
12-15,1095,350,467,340.3,683.9,189.4,2,0,0,0.6,0,0
16-19,1520,226,295,380.4,359.5,253.9,0,0,0,0,0,0
20-29,4089,362,616,425.5,234.9,341.8,1,0,1,0.1,0,0.6
30-39,4330,411,692,470.4,309.7,517.8,5,1,5,0.5,0.8,3.7
40-49,4454,276,544,497.2,284.1,527.7,7,3,7,0.8,3.1,6.8
50-59,3385,157,447,461,237.4,683.4,15,2,21,2,3,32.1
60-69,3301,164,387,506.4,430.9,731.8,42,4,19,6.4,10.5,35.9
70-79,2235,86,320,465.5,395,1437.6,39,7,29,8.1,32.1,130.3
80-89,1051,62,207,499,428.1,1820.7,36,8,19,17.1,55.2,167.1
90+,333,22,85,694.2,317.9,3623.2,8,4,13,16.7,57.8,554.1
