age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,37,0,304,10.5,0,120,0,0,0,0,0,0
16-19,24,36,120,6.7,40.3,99.6,0,0,0,0,0,0
20-29,54,125,299,6.4,53.6,144.5,0,2,6,0,0.9,2.9
30-39,128,162,294,15.7,77.1,193.9,0,0,8,0,0,5.3
40-49,131,106,239,15.9,71.1,204.3,1,0,19,0.1,0,16.2
50-59,59,43,141,8.6,46.2,178.4,1,2,27,0.1,2.1,34.2
60-69,59,33,82,9.3,64.7,142,3,2,27,0.5,3.9,46.7
70-79,50,12,44,10.9,43.6,120.5,7,1,14,1.5,3.6,38.3
80-89,18,7,27,9,40.4,147.1,3,0,5,1.5,0,27.2
90+,5,1,4,11.7,13.5,57.8,0,0,1,0,0,14.5
