age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
12-15,364829,300413,583,57.4,47.2,0.1,58.21,41.77,0.02
16-19,516456,448713,201194,87.3,75.9,34,63.24,21.11,15.65
20-29,1108140,989165,643224,84,75,48.8,65.61,16.16,18.23
30-39,1058544,969882,652257,87.7,80.3,54,69.22,12.89,17.88
40-49,994573,923842,692442,89.5,83.2,62.3,75.56,10.74,13.69
50-59,790169,743796,605008,90.3,85,69.2,80.03,9.17,10.81
60-69,689031,662513,576350,92.2,88.7,77.1,85.31,7.79,6.9
70-79,476575,465987,437337,90.4,88.4,83,87.78,6.96,5.26
80-89,215692,210175,191383,90.4,88,80.2,84.88,7.77,7.35
90+,49084,47280,41882,83.6,80.6,71.4,75.01,12.06,12.93
