instituteDesc,occupancy,gOccupancy,occupancyDate
,,,2022-11-27T00:00:00.000Z
Tel Aviv Medical Center       ,,,2022-11-27T00:00:00.000Z
,,,2022-11-27T00:00:00.000Z
Assuta Ashdod                 ,,,2022-11-27T00:00:00.000Z
Soroka Medical Center         ,69.4,77.4,2022-11-27T00:00:00.000Z
Yosephtal Hospital            ,75,47.7,2022-11-27T00:00:00.000Z
Rabin K. Hasharon             ,75.4,71.8,2022-11-27T00:00:00.000Z
Hacarmel Hospital             ,85.8,77.7,2022-11-27T00:00:00.000Z
Bnei Ziom Medical Center      ,93.4,81.3,2022-11-27T00:00:00.000Z
Barzilai Medical Center       ,96.9,77,2022-11-27T00:00:00.000Z
,,,2022-11-27T00:00:00.000Z
      Ziv Hospital            ,76.6,80.1,2022-11-27T00:00:00.000Z
Woolfson Medical Center       ,80.3,77.5,2022-11-27T00:00:00.000Z
Hadassah Mount Scopus         ,86.1,78.1,2022-11-27T00:00:00.000Z
Assaf Harofeh Medical Center  ,86.1,70.1,2022-11-27T00:00:00.000Z
Haemek Valley Center Hospital ,94.2,76.7,2022-11-27T00:00:00.000Z
Poriah Hospital               ,97.4,73.2,2022-11-27T00:00:00.000Z
Rambam                        ,99,89.2,2022-11-27T00:00:00.000Z
Meir Hospital                 ,100.5,99.4,2022-11-27T00:00:00.000Z
Hillel Yaffeh Medical Center  ,101.4,82.7,2022-11-27T00:00:00.000Z
Kaplan Hospital               ,116,109.7,2022-11-27T00:00:00.000Z
Nahariya                      ,120.5,85.8,2022-11-27T00:00:00.000Z
Rabin K. Beilinson            ,133.9,103,2022-11-27T00:00:00.000Z
Hadassah Ein Kerem            ,135,94.7,2022-11-27T00:00:00.000Z
The Holy Family               ,,,2022-11-27T00:00:00.000Z
,,,2022-11-27T00:00:00.000Z
Laniado                       ,103.8,94.5,2022-11-27T00:00:00.000Z
Mayanei Hayeshua              ,,,2022-11-27T00:00:00.000Z
,,,2022-11-27T00:00:00.000Z
Chaim Sheba Medical Center    ,,,2022-11-27T00:00:00.000Z
Shmuel Harofe                 ,,,2022-11-27T00:00:00.000Z
Shaare Zedek                  ,,,2022-11-27T00:00:00.000Z
