age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,1.4,79.6,19.1
12-15,65.7,54.7,14.9,0,3.6,44.3,52.1
16-19,89.3,78.3,46,0.2,3.9,22.9,73.2
20-29,85.6,77.1,54.8,0.9,4.6,13.2,82.2
30-39,89,82,59.7,2.1,5.5,10.5,84
40-49,90.6,84.7,67.1,3.5,5.9,9,85.2
50-59,91.2,86.6,73.3,7.3,6.9,6.5,86.6
60-69,93.2,90.3,80.9,34.1,6.6,7.6,85.8
70-79,92.1,90.7,87.4,54.7,6.8,3.5,89.7
80+,95.3,93.3,87.5,58.1,6.2,5.9,87.9
