age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,20,91,280,111.7,40.8,29.9,0,0,0,0,0,0
12-15,8,95,89,33.7,30,32.9,0,0,0,0,0,0
16-19,14,303,68,57.8,71.7,51.2,0,0,1,0,0,0.8
20-29,48,1107,247,75.7,104,143.6,0,4,1,0,0.4,0.6
30-39,54,1115,269,77.2,111.8,214.7,0,2,1,0,0.2,0.8
40-49,62,1193,192,90.1,128.1,194.7,0,2,0,0,0.2,0
50-59,88,1235,178,139.4,165.4,313.3,0,10,5,0,1.3,8.8
60-69,177,3033,267,347.1,479,472.7,1,24,10,2,3.8,17.7
70-79,209,3316,229,572.3,714.7,1257.6,5,45,5,13.7,9.7,27.5
80+,200,2934,300,1113.6,1202.9,1826.7,7,68,19,39,27.9,115.7
