age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,4.5,78.9,16.6
12-15,65.6,54.6,14.9,0,8.2,43.8,48
16-19,89.3,78.2,46,0.2,9,22.8,68.2
20-29,85.6,77.1,54.8,0.8,9.7,13.3,77
30-39,88.9,82,59.7,2,11.4,10.5,78
40-49,90.6,84.7,67.1,3.5,11.9,9,79.1
50-59,91.2,86.6,73.3,7.2,13,6.7,80.4
60-69,93.2,90.3,80.8,34,10.9,7.7,81.5
70-79,92.1,90.7,87.4,54.6,10.7,3.8,85.5
80+,95.3,93.2,87.5,58.1,10,6,84
