age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.7,0.1,0,16.8,77.1,6
12-15,65.6,54.6,14.8,0,28.6,42.8,28.7
16-19,89.3,78.2,45.9,0.2,27.3,22.4,50.2
20-29,85.6,77,54.7,0.8,24.6,13.4,62
30-39,88.9,81.9,59.7,2,27.6,10.6,61.7
40-49,90.5,84.7,67,3.4,28.6,9.1,62.3
50-59,91.2,86.5,73.3,7,28.4,6.9,64.7
60-69,93.1,90.3,80.8,33.8,47.9,7.8,44.3
70-79,92,90.6,87.3,54.3,63.2,4.5,32.3
80+,95.3,93.2,87.5,57.8,63.7,6.2,30.1
