age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,97202,282,29,7.9,0,0,0.05,99.95,0
12-15,382200,305832,3500,60.1,48.1,0.6,58.52,41.47,0.02
16-19,519137,451716,212002,87.8,76.4,35.9,64.61,20.84,14.55
20-29,1113693,995023,662571,84.4,75.4,50.2,66.89,15.62,17.48
30-39,1062447,973728,669274,88,80.7,55.4,70.27,12.54,17.2
40-49,997160,926788,703612,89.8,83.4,63.3,76.36,10.47,13.18
50-59,791712,745832,611658,90.5,85.3,69.9,80.68,8.83,10.49
60-69,689987,663817,580048,92.3,88.8,77.6,85.65,7.61,6.74
70-79,477083,466669,439410,90.5,88.6,83.4,88.38,6.47,5.15
80-89,215883,210528,192307,90.4,88.2,80.6,85.37,7.39,7.24
90+,49147,47358,42163,83.7,80.7,71.8,75.81,11.29,12.9
