age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,305071,205178,618088,49.4,33.2,156,0
16-19,481033,411315,583545,82.4,70.5,56280,9.6
20-29,1052074,952706,1300361,80.9,73.3,211586,16.3
30-39,1018409,941759,1197026,85.1,78.7,302368,25.3
40-49,965633,901459,1098556,87.9,82.1,433109,39.4
50-59,772962,728179,849966,90.9,85.7,457698,53.8
60-69,680415,652253,741639,91.7,87.9,504422,68
70-79,472501,460045,490784,96.3,93.7,402597,82
80-89,213842,207730,225538,94.8,92.1,175833,78
90+,48615,46735,51496,94.4,90.8,37600,73
