instituteDesc,occupancy,gOccupancy,occupancyDate
Yosephtal Hospital            ,50,33.8,2022-06-25T00:00:00.000Z
Hadassah Mount Scopus         ,61.1,71.2,2022-06-25T00:00:00.000Z
Rabin K. Hasharon             ,64.9,63.9,2022-06-25T00:00:00.000Z
Soroka Medical Center         ,65.9,72.7,2022-06-25T00:00:00.000Z
Meir Hospital                 ,67,86,2022-06-25T00:00:00.000Z
Hacarmel Hospital             ,69.8,66.5,2022-06-25T00:00:00.000Z
Shaare Zedek                  ,77.3,89.9,2022-06-25T00:00:00.000Z
Haemek Valley Center Hospital ,80,71.7,2022-06-25T00:00:00.000Z
Woolfson Medical Center       ,80.7,74.5,2022-06-25T00:00:00.000Z
Bnei Ziom Medical Center      ,82.6,76,2022-06-25T00:00:00.000Z
Barzilai Medical Center       ,82.8,68.5,2022-06-25T00:00:00.000Z
Poriah Hospital               ,82.1,64.2,2022-06-25T00:00:00.000Z
Rambam                        ,82.3,78.2,2022-06-25T00:00:00.000Z
Laniado                       ,85.9,84.1,2022-06-25T00:00:00.000Z
Shmuel Harofe                 ,91.7,76.8,2022-06-25T00:00:00.000Z
Kaplan Hospital               ,94,97.7,2022-06-25T00:00:00.000Z
Rabin K. Beilinson            ,95.6,85.9,2022-06-25T00:00:00.000Z
Assaf Harofeh Medical Center  ,95,66.6,2022-06-25T00:00:00.000Z
      Ziv Hospital            ,96.9,62.2,2022-06-25T00:00:00.000Z
Nahariya                      ,100,84.7,2022-06-25T00:00:00.000Z
Hadassah Ein Kerem            ,103.9,83.9,2022-06-25T00:00:00.000Z
Assuta Ashdod                 ,105.1,92.8,2022-06-25T00:00:00.000Z
Hillel Yaffeh Medical Center  ,108.9,82.1,2022-06-25T00:00:00.000Z
