age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.6,0.1,0,21.6,76.9,1.5
12-15,65.6,54.6,14.7,0,35.3,42.5,22.2
16-19,89.2,78.2,45.9,0.2,32.1,22.3,45.5
20-29,85.6,77,54.7,0.8,28.6,13.5,57.9
30-39,88.9,81.9,59.6,1.9,32.5,10.7,56.8
40-49,90.5,84.7,67,3.3,33.7,9.2,57.1
50-59,91.2,86.5,73.2,6.9,33.1,7,59.9
60-69,93.1,90.2,80.8,33.5,50.6,7.9,41.5
70-79,92,90.6,87.3,54,64.5,4.7,30.8
80+,95.3,93.2,87.5,57.6,64.6,6.4,29
