period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,809,3174,7.09,27.8
3_Month,5-11,1301,6426,3.48,17.21
6_Month,5-11,2799,43686,0.6,9.41
1_Year,5-11,2800,45328,0.47,7.57
All,5-11,2800,45565,0.4,6.5
1_Month,12-15,668,942,9.24,13.03
3_Month,12-15,1145,1799,5.74,9.02
6_Month,12-15,7520,15765,3.32,6.97
1_Year,12-15,7601,16863,2.83,6.28
All,12-15,7601,17146,2.26,5.09
1_Month,16-19,840,315,14.49,5.43
3_Month,16-19,1541,690,9.38,4.2
6_Month,16-19,11891,9054,6.46,4.92
1_Year,16-19,12104,10076,5.68,4.73
All,16-19,12116,10359,4.09,3.5
1_Month,20-29,2357,726,13.81,4.26
3_Month,20-29,4635,1671,8.92,3.22
6_Month,20-29,28458,16810,7.31,4.32
1_Year,20-29,28968,19000,6.3,4.13
All,20-29,29000,19458,4.72,3.17
1_Month,30-39,2612,936,12.44,4.46
3_Month,30-39,5180,2007,7.89,3.06
6_Month,30-39,26210,15209,6.17,3.58
1_Year,30-39,26677,16810,5.36,3.38
All,30-39,26732,17132,4.36,2.8
1_Month,40-49,2675,727,11.95,3.25
3_Month,40-49,4874,1531,7.47,2.35
6_Month,40-49,23269,11279,5.9,2.86
1_Year,40-49,23650,12245,5.25,2.72
All,40-49,23716,12483,4.32,2.28
1_Month,50-59,1887,421,8.92,1.99
3_Month,50-59,3424,892,5.98,1.56
6_Month,50-59,14615,6079,5.39,2.24
1_Year,50-59,14810,6485,4.9,2.15
All,50-59,14859,6649,3.98,1.78
1_Month,60-69,1353,208,6.02,0.93
3_Month,60-69,2416,453,4.3,0.81
6_Month,60-69,8533,3177,4.31,1.61
1_Year,60-69,8672,3323,4,1.53
All,60-69,8705,3411,3.31,1.3
1_Month,70-79,858,79,4.23,0.39
3_Month,70-79,1366,167,3.06,0.37
6_Month,70-79,3740,925,3.16,0.78
1_Year,70-79,3818,967,2.97,0.75
All,70-79,3838,1017,2.53,0.67
1_Month,80+,421,56,4.59,0.61
3_Month,80+,726,112,3.55,0.55
6_Month,80+,2138,520,3.81,0.93
1_Year,80+,2182,543,3.5,0.87
All,80+,2213,588,2.81,0.75
