age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
12-15,368701,302272,631,58,47.5,0.1,58.32,41.66,0.02
16-19,517287,449699,203915,87.5,76,34.5,63.73,20.99,15.28
20-29,1109864,990999,649159,84.1,75.1,49.2,66.04,16.02,17.94
30-39,1059673,971013,657155,87.8,80.4,54.4,69.56,12.8,17.64
40-49,995342,924769,695645,89.6,83.2,62.6,75.81,10.67,13.52
50-59,790608,744385,606832,90.4,85.1,69.4,80.21,9.08,10.71
60-69,689323,662921,577474,92.3,88.7,77.3,85.42,7.75,6.83
70-79,476722,466214,437940,90.5,88.5,83.1,87.93,6.85,5.22
80-89,215765,210313,191674,90.4,88.1,80.3,85.03,7.68,7.29
90+,49102,47309,41970,83.7,80.6,71.5,75.21,11.9,12.89
