period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,221,1070,3.68,17.8
3_Month,5-11,773,5886,1.38,10.49
6_Month,5-11,1976,40618,0.43,8.82
1_Year,5-11,1976,42110,0.34,7.17
All,5-11,1976,42335,0.29,6.14
1_Month,12-15,187,260,5.59,7.78
3_Month,12-15,935,1563,3.43,5.73
6_Month,12-15,6868,14894,3.11,6.74
1_Year,12-15,6927,15941,2.65,6.1
All,12-15,6927,16192,2.1,4.91
1_Month,16-19,204,94,8.63,3.97
3_Month,16-19,1400,672,5.74,2.75
6_Month,16-19,11068,8777,6.17,4.9
1_Year,16-19,11254,9760,5.43,4.71
All,16-19,11265,10040,3.88,3.46
1_Month,20-29,640,206,8.9,2.87
3_Month,20-29,4393,1520,6.27,2.17
6_Month,20-29,26150,16162,6.98,4.31
1_Year,20-29,26584,18268,6.01,4.13
All,20-29,26615,18723,4.46,3.14
1_Month,30-39,703,240,7.35,2.51
3_Month,30-39,4426,1661,5.38,2.02
6_Month,30-39,23665,14346,5.83,3.53
1_Year,30-39,24040,15870,5.05,3.33
All,30-39,24091,16187,4.07,2.74
1_Month,40-49,631,162,6.45,1.66
3_Month,40-49,3769,1237,4.79,1.57
6_Month,40-49,20650,10589,5.52,2.83
1_Year,40-49,20962,11514,4.9,2.69
All,40-49,21020,11750,4,2.23
1_Month,50-59,440,86,5.11,1
3_Month,50-59,2584,732,4.17,1.18
6_Month,50-59,12742,5675,5.08,2.26
1_Year,50-59,12913,6059,4.6,2.16
All,50-59,12959,6222,3.68,1.77
1_Month,60-69,317,47,3.5,0.52
3_Month,60-69,1608,385,3.09,0.74
6_Month,60-69,7191,2973,4.09,1.69
1_Year,60-69,7301,3113,3.76,1.6
All,60-69,7334,3196,3.05,1.33
1_Month,70-79,168,22,2.26,0.3
3_Month,70-79,709,127,2.01,0.36
6_Month,70-79,2887,844,2.94,0.86
1_Year,70-79,2953,887,2.73,0.82
All,70-79,2973,935,2.26,0.71
1_Month,80+,117,18,3.51,0.54
3_Month,80+,422,83,2.65,0.52
6_Month,80+,1716,463,3.65,0.99
1_Year,80+,1762,485,3.32,0.92
All,80+,1790,530,2.58,0.76
