age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,91,217,807,155.1,112.5,86.5,0,0,0,0,0,0
12-15,29,285,191,53.4,97.8,71.1,0,0,0,0,0,0
16-19,30,705,155,53.5,179.7,117.3,0,0,1,0,0,0.8
20-29,124,2480,568,92.7,249.5,328.5,0,4,2,0,0.4,1.2
30-39,141,2717,588,97.4,294.2,467.3,1,3,1,0.7,0.3,0.8
40-49,207,2758,506,149.6,319.8,511.1,0,7,0,0,0.8,0
50-59,293,2885,354,247.9,417.6,612.2,1,11,5,0.8,1.6,8.6
60-69,571,6031,481,673.3,1006.8,844.1,3,30,12,3.5,5,21.1
70-79,657,6209,390,1126.9,1409.1,1964.2,7,52,17,12,11.8,85.6
80+,631,4859,469,2149.4,2091.8,2805.4,19,81,30,64.7,34.9,179.4
