age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,827,0,1472,285.3,,160.2,0,0,2,0,,0.2
12-15,475,236,325,165.5,286,129.9,1,0,0,0.3,0,0
16-19,831,112,246,215.5,149,208.8,1,0,1,0.3,0,0.8
20-29,2899,300,666,302.4,189.2,374,0,0,1,0,0,0.6
30-39,3880,368,800,421.7,273.6,603.8,3,1,3,0.3,0.7,2.3
40-49,3608,229,683,403,232.1,668.1,5,2,3,0.6,2,2.9
50-59,2990,141,575,407.1,208.9,899,10,1,9,1.4,1.5,14.1
60-69,4369,144,633,671.7,372.1,1180.7,32,3,9,4.9,7.8,16.8
70-79,3548,76,432,736.5,343.9,2130.7,35,4,7,7.3,18.1,34.5
80-89,1652,66,233,772,445,3049.3,28,1,16,13.1,6.7,209.4
90+,516,24,69,1015.6,330.4,,30,1,7,59,13.8,
