period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,377,2739,1.35,9.79
3_Month,5-11,1591,34261,0.41,8.9
6_Month,5-11,1776,39446,0.38,8.52
1_Year,5-11,1776,40874,0.31,7.04
All,5-11,1776,41005,0.26,6.01
1_Month,12-15,493,768,3.58,5.57
3_Month,12-15,5524,11052,3.14,6.28
6_Month,12-15,6756,14588,3.09,6.66
1_Year,12-15,6841,15593,2.65,6.05
All,12-15,6841,15750,2.1,4.84
1_Month,16-19,752,345,5.8,2.66
3_Month,16-19,8152,5448,5.8,3.87
6_Month,16-19,10844,8677,6.12,4.9
1_Year,16-19,11077,9568,5.42,4.69
All,16-19,11086,9835,3.87,3.43
1_Month,20-29,2663,738,6.42,1.78
3_Month,20-29,20069,10802,6.85,3.69
6_Month,20-29,25495,15859,6.95,4.32
1_Year,20-29,26050,17768,6.02,4.11
All,20-29,26071,18192,4.44,3.1
1_Month,30-39,2614,840,5.57,1.79
3_Month,30-39,19182,10592,5.76,3.18
6_Month,30-39,22892,13992,5.79,3.54
1_Year,30-39,23340,15349,5.05,3.32
All,30-39,23373,15644,4.05,2.71
1_Month,40-49,2182,615,4.93,1.39
3_Month,40-49,16424,7616,5.38,2.49
6_Month,40-49,19984,10289,5.51,2.84
1_Year,40-49,20345,11106,4.92,2.68
All,40-49,20380,11318,3.98,2.21
1_Month,50-59,1444,377,4.13,1.08
3_Month,50-59,10143,4071,4.96,1.99
6_Month,50-59,12243,5502,5.1,2.29
1_Year,50-59,12444,5830,4.63,2.17
All,50-59,12478,5983,3.67,1.76
1_Month,60-69,891,189,3.09,0.65
3_Month,60-69,5456,2106,3.97,1.53
6_Month,60-69,6803,2876,4.16,1.76
1_Year,60-69,6924,2990,3.81,1.65
All,60-69,6948,3065,3.05,1.35
1_Month,70-79,369,56,1.94,0.29
3_Month,70-79,2132,597,2.87,0.8
6_Month,70-79,2689,797,3.05,0.9
1_Year,70-79,2760,836,2.82,0.85
All,70-79,2774,879,2.29,0.73
1_Month,80-89,143,20,2.11,0.29
3_Month,80-89,952,277,3.27,0.95
6_Month,80-89,1166,343,3.45,1.02
1_Year,80-89,1205,355,3.14,0.92
All,80-89,1218,385,2.4,0.76
1_Month,90+,49,5,3.32,0.34
3_Month,90+,335,69,4.48,0.92
6_Month,90+,408,86,4.74,1
1_Year,90+,426,90,4.32,0.91
All,90+,433,101,3.11,0.73
