period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,153,443,11.43,33.11
3_Month,5-11,2669,9543,8.99,32.15
6_Month,5-11,3413,14328,4.85,20.34
1_Year,5-11,4779,51421,0.87,9.34
All,5-11,4779,52494,0.66,7.27
1_Month,12-15,138,148,17.45,18.71
3_Month,12-15,1703,2239,12.45,16.37
6_Month,12-15,2504,3600,7.18,10.32
1_Year,12-15,8726,17661,3.46,7.01
All,12-15,8755,18668,2.53,5.4
1_Month,16-19,235,63,25.94,6.95
3_Month,16-19,3243,1051,20.56,6.66
6_Month,16-19,4455,1636,12.84,4.72
1_Year,16-19,14537,10218,7.05,4.96
All,16-19,14707,11161,4.78,3.63
1_Month,20-29,780,154,24.47,4.83
3_Month,20-29,9946,2701,20.19,5.48
6_Month,20-29,13943,4083,12.79,3.75
1_Year,20-29,36783,19875,8.16,4.41
All,20-29,37133,21592,5.7,3.31
1_Month,30-39,848,200,22.49,5.31
3_Month,30-39,11403,3424,18.65,5.6
6_Month,30-39,15472,4989,11.74,3.79
1_Year,30-39,35761,18659,7.17,3.74
All,30-39,36059,19831,5.47,3.01
1_Month,40-49,886,161,22.06,4.01
3_Month,40-49,10688,2608,17.42,4.25
6_Month,40-49,14298,3791,11.01,2.92
1_Year,40-49,32055,13784,6.98,3
All,40-49,32341,14535,5.44,2.45
1_Month,50-59,667,112,16.47,2.77
3_Month,50-59,7565,1558,13.02,2.68
6_Month,50-59,10067,2268,8.78,1.98
1_Year,50-59,20826,7513,6.43,2.32
All,50-59,21005,7888,5.03,1.89
1_Month,60-69,559,78,11.3,1.58
3_Month,60-69,5737,895,9.07,1.41
6_Month,60-69,7438,1252,6.5,1.09
1_Year,60-69,13311,3969,5.3,1.58
All,60-69,13449,4140,4.32,1.33
1_Month,70-79,436,38,8.72,0.76
3_Month,70-79,3631,383,6.41,0.68
6_Month,70-79,4472,505,4.75,0.54
1_Year,70-79,6783,1263,4.13,0.77
All,70-79,6853,1339,3.51,0.69
1_Month,80+,334,27,11.3,0.91
3_Month,80+,2545,260,8.07,0.82
6_Month,80+,2997,339,6.22,0.7
1_Year,80+,4371,747,5.27,0.9
All,80+,4442,806,4.27,0.78
