age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,185,1577,0,57.3,612.7,0,0,0,0,0,0
16-19,44,586,770,25.3,225,598.2,0,0,1,0,0,0.8
20-29,135,1530,1400,26.8,288.8,608.6,1,2,12,0.2,0.4,5.2
30-39,217,1497,1376,39.4,335.3,832.7,0,2,23,0,0.4,13.9
40-49,241,993,953,38.6,303.8,750.8,1,4,53,0.2,1.2,41.8
50-59,157,546,581,28.1,261.6,665,4,10,73,0.7,4.8,83.6
60-69,163,287,377,29.4,238.5,610.1,11,18,72,2,15,116.5
70-79,139,161,237,33.5,252.7,560.4,9,20,50,2.2,31.4,118.2
80-89,93,84,150,51.6,247.1,728.3,5,7,28,2.8,20.6,135.9
90+,31,18,37,84.1,149.5,464.5,0,2,13,0,16.6,163.2
