age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,351364,277711,635971,55.2,43.7,424,0.1
16-19,505587,437063,591331,85.5,73.9,167853,28.4
20-29,1086977,974681,1319364,82.4,73.9,555169,42.1
30-39,1044845,959559,1207243,86.5,79.5,585702,48.5
40-49,985350,916469,1110965,88.7,82.5,648916,58.4
50-59,784524,738905,874608,89.7,84.5,578923,66.2
60-69,685889,659247,747217,91.8,88.2,562142,75.2
70-79,474909,464013,526929,90.1,88.1,429344,81.5
80-89,214943,209278,238729,90,87.7,187347,78.5
90+,48875,47065,58687,83.3,80.2,40525,69.1
