age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,3,31,103,68.7,14.3,10.8,0,0,0,0,0,0
12-15,2,77,36,40,24.4,12.6,0,0,0,0,0,0
16-19,6,491,63,163.6,113.1,45,0,0,0,0,0,0
20-29,9,940,115,81.1,83.7,70.2,0,0,1,0,0,0.6
30-39,28,757,124,171.9,71.9,101.3,1,1,0,6.1,0.1,0
40-49,41,881,91,179.7,89.7,98.1,0,2,0,0,0.2,0
50-59,72,932,108,204.4,119.1,223.8,0,8,2,0,1,4.1
60-69,233,1657,137,294.5,272.9,253.5,0,18,2,0,3,3.7
70-79,487,1567,119,405.2,397.4,3008.1,5,31,6,4.2,7.9,151.7
80+,575,1294,175,813.5,664.7,1366.5,6,44,14,8.5,22.6,109.3
