age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.4,80.9,18.7
12-15,65.7,54.7,15,0.1,0.9,46.6,52.6
16-19,89.3,78.3,46,0.4,0.6,23.9,75.5
20-29,85.7,77.2,54.9,1,0.7,12.7,86.5
30-39,89,82.1,59.8,2.4,1.1,10.4,88.6
40-49,90.6,84.8,67.2,4.1,1.6,8.5,89.9
50-59,91.3,86.6,73.4,8.4,2.9,5.8,91.3
60-69,93.2,90.4,81,35.1,7,7.4,85.6
70-79,92.1,90.7,87.5,56,14.9,1.3,83.7
80+,95.4,93.3,87.8,59.8,16.2,4.9,78.9
