period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,165,341,17.82,36.83
3_Month,5-11,449,1030,15.05,34.53
6_Month,5-11,3172,10956,9.08,31.35
1_Year,5-11,5129,51520,1.03,10.39
All,5-11,5129,53259,0.71,7.35
1_Month,12-15,262,127,30.9,14.98
3_Month,12-15,593,397,24.11,16.14
6_Month,12-15,2336,2765,13.11,15.52
1_Year,12-15,9193,17649,3.85,7.39
All,12-15,9252,18977,2.66,5.46
1_Month,16-19,553,79,43.2,6.17
3_Month,16-19,961,176,34.73,6.36
6_Month,16-19,4274,1268,21.59,6.41
1_Year,16-19,15322,10037,7.7,5.04
All,16-19,15532,11303,5.01,3.65
1_Month,20-29,1387,139,41.99,4.21
3_Month,20-29,2543,341,33.26,4.46
6_Month,20-29,12661,3125,20.77,5.13
1_Year,20-29,38776,19279,8.91,4.43
All,20-29,39261,21846,5.97,3.32
1_Month,30-39,1303,151,37.54,4.35
3_Month,30-39,2684,412,29.66,4.55
6_Month,30-39,14192,3964,18.89,5.28
1_Year,30-39,37828,18297,7.86,3.8
All,30-39,38268,20144,5.74,3.02
1_Month,40-49,1617,140,39.65,3.43
3_Month,40-49,3150,407,30.43,3.93
6_Month,40-49,13944,3105,18.11,4.03
1_Year,40-49,34573,13686,7.67,3.04
All,40-49,34960,14851,5.8,2.46
1_Month,50-59,1340,145,31.96,3.46
3_Month,50-59,2554,314,23.38,2.87
6_Month,50-59,10224,1915,13.8,2.58
1_Year,50-59,22951,7583,7.07,2.33
All,50-59,23188,8137,5.44,1.91
1_Month,60-69,1060,71,22.19,1.49
3_Month,60-69,2196,175,16.63,1.33
6_Month,60-69,7974,1072,9.74,1.31
1_Year,60-69,15148,4043,5.89,1.57
All,60-69,15311,4269,4.76,1.33
1_Month,70-79,767,41,16.01,0.86
3_Month,70-79,1650,99,11.73,0.7
6_Month,70-79,5264,478,6.98,0.63
1_Year,70-79,8148,1319,4.7,0.76
All,70-79,8241,1412,3.99,0.68
1_Month,80+,501,44,15.85,1.39
3_Month,80+,1057,89,12.88,1.08
6_Month,80+,3512,350,8.48,0.84
1_Year,80+,5221,813,5.92,0.92
All,80+,5301,882,4.79,0.8
