period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,188,1007,2.8,15
3_Month,5-11,866,8622,0.99,9.89
6_Month,5-11,1894,40306,0.41,8.74
1_Year,5-11,1894,41763,0.32,7.13
All,5-11,1894,41970,0.28,6.1
1_Month,12-15,167,242,4.83,6.99
3_Month,12-15,1355,2303,3.33,5.66
6_Month,12-15,6843,14827,3.11,6.73
1_Year,12-15,6902,15841,2.65,6.08
All,12-15,6902,16066,2.1,4.89
1_Month,16-19,235,102,8.34,3.62
3_Month,16-19,1900,878,5.57,2.57
6_Month,16-19,11011,8758,6.16,4.9
1_Year,16-19,11191,9734,5.42,4.71
All,16-19,11202,10011,3.87,3.46
1_Month,20-29,703,232,8.03,2.65
3_Month,20-29,5546,1945,6.32,2.22
6_Month,20-29,25988,16111,6.97,4.32
1_Year,20-29,26413,18203,6,4.13
All,20-29,26440,18650,4.44,3.13
1_Month,30-39,865,255,6.79,2
3_Month,30-39,5658,2121,5.37,2.01
6_Month,30-39,23492,14272,5.82,3.53
1_Year,30-39,23855,15787,5.04,3.34
All,30-39,23901,16098,4.06,2.74
1_Month,40-49,737,210,5.92,1.69
3_Month,40-49,4774,1564,4.77,1.56
6_Month,40-49,20467,10547,5.51,2.84
1_Year,40-49,20763,11462,4.89,2.7
All,40-49,20808,11692,3.98,2.24
1_Month,50-59,505,122,4.68,1.13
3_Month,50-59,3189,915,4.25,1.22
6_Month,50-59,12612,5656,5.08,2.28
1_Year,50-59,12775,6037,4.6,2.17
All,50-59,12817,6197,3.67,1.77
1_Month,60-69,386,59,3.41,0.52
3_Month,60-69,1927,477,3.23,0.8
6_Month,60-69,7110,2961,4.11,1.71
1_Year,60-69,7212,3099,3.77,1.62
All,60-69,7238,3178,3.05,1.34
1_Month,70-79,207,25,2.36,0.28
3_Month,70-79,800,161,2.07,0.42
6_Month,70-79,2849,836,2.98,0.87
1_Year,70-79,2912,879,2.76,0.83
All,70-79,2930,926,2.27,0.72
1_Month,80+,146,26,3.31,0.59
3_Month,80+,489,98,2.75,0.55
6_Month,80+,1696,457,3.68,0.99
1_Year,80+,1743,480,3.35,0.92
All,80+,1767,524,2.58,0.77
