age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,57,0,546,16.5,0,215.5,0,0,0,0,0,0
16-19,57,103,226,16.4,108.7,183.3,0,0,0,0,0,0
20-29,93,216,426,11.4,89.5,197.6,0,1,6,0,0.4,2.8
30-39,189,256,432,23.7,118.2,276,0,0,15,0,0,9.6
40-49,151,174,364,18.6,113,301.7,1,0,35,0.1,0,29
50-59,70,81,194,10.3,84.5,235.3,2,3,46,0.3,3.1,55.8
60-69,66,59,144,10.5,113.3,243,7,4,39,1.1,7.7,65.8
70-79,55,36,94,12.1,128.6,239.5,10,4,22,2.2,14.3,56
80-89,45,12,48,22.7,68.8,247.6,5,1,9,2.5,5.7,46.4
90+,6,4,13,14.2,54.9,175.4,2,1,7,4.7,13.7,94.5
