age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,359863,292540,635971,56.6,46,493,0.1
16-19,512459,443960,591331,86.7,75.1,188999,32
20-29,1100507,982325,1319364,83.4,74.5,615413,46.6
30-39,1053698,965224,1207243,87.3,80,630312,52.2
40-49,991347,920474,1110965,89.2,82.9,678500,61.1
50-59,788233,741534,874608,90.1,84.8,596546,68.2
60-69,687903,661063,747217,92.1,88.5,571756,76.5
70-79,475975,465188,526929,90.3,88.3,434712,82.5
80-89,215433,209787,238729,90.2,87.9,190157,79.7
90+,49003,47197,58687,83.5,80.4,41495,70.7
