age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,167291,35801,414996,52,230,1356,31.1,642.4,326.8,0,0,0,0,0,0
16-19,423860,23482,136203,876,32,401,206.7,136.3,294.4,0,0,0,0,0,0
20-29,987083,41743,271535,2037,65,677,206.4,155.7,249.3,0,0,0,0,0,0
30-39,965241,32782,199003,2413,47,701,250,143.4,352.3,0,0,4,0,0,2
40-49,924536,25008,149012,2343,27,508,253.4,108,340.9,2,0,11,0.2,0,7.4
50-59,745876,16875,87215,1713,24,343,229.7,142.2,393.3,10,1,14,1.3,5.9,16.1
60-69,663797,10513,67329,1644,11,186,247.7,104.6,276.3,29,1,15,4.4,9.5,22.3
70-79,463189,5759,21836,1080,12,96,233.2,208.4,439.6,49,3,12,10.6,52.1,55
80-89,208266,3900,13372,528,5,72,253.5,128.2,538.4,52,1,12,25,25.6,89.7
90+,46423,1749,3324,153,6,18,329.6,343.1,541.5,17,2,3,36.6,114.4,90.3
