age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.9,17.2,0,0,23.55,76.45,0
12-15,65.4,54.2,14,0,54.84,39.36,5.8
16-19,89.2,77.9,45.3,0.1,69.69,19.86,10.45
20-29,85.6,76.7,54.1,0.4,73.51,14.17,12.32
30-39,88.9,81.8,59.2,1.2,76.66,11.41,11.93
40-49,90.5,84.4,66.5,1.9,81.04,9.58,9.38
50-59,91,86.2,72.7,3.8,84.23,7.84,7.93
60-69,92.7,89.7,80.1,28.9,87.45,7.21,5.33
70-79,90.8,89.3,85.8,47.2,90.73,4.98,4.29
80-89,90.8,89,83.3,49.4,88.29,5.4,6.31
90+,84.4,81.6,75.7,47.3,81.95,5.84,12.21
