period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,173,365,17.73,37.4
3_Month,5-11,456,1031,15.35,34.71
6_Month,5-11,3149,10875,9.15,31.6
1_Year,5-11,5148,51562,1.04,10.42
All,5-11,5148,53309,0.71,7.36
1_Month,12-15,286,137,31.46,15.07
3_Month,12-15,621,401,24.8,16.01
6_Month,12-15,2364,2745,13.46,15.63
1_Year,12-15,9240,17664,3.87,7.4
All,12-15,9300,18996,2.68,5.47
1_Month,16-19,605,82,43.06,5.84
3_Month,16-19,1034,181,35.69,6.25
6_Month,16-19,4331,1261,21.96,6.39
1_Year,16-19,15426,10046,7.75,5.04
All,16-19,15637,11314,5.04,3.65
1_Month,20-29,1604,142,43.49,3.85
3_Month,20-29,2750,340,34.93,4.32
6_Month,20-29,12888,3117,21.18,5.12
1_Year,20-29,39081,19289,8.97,4.43
All,20-29,39567,21865,6.01,3.32
1_Month,30-39,1486,170,38.08,4.36
3_Month,30-39,2868,431,30.6,4.6
6_Month,30-39,14412,3966,19.25,5.3
1_Year,30-39,38124,18327,7.91,3.8
All,30-39,38565,20179,5.78,3.03
1_Month,40-49,1862,156,40.64,3.4
3_Month,40-49,3413,416,31.9,3.89
6_Month,40-49,14256,3115,18.58,4.06
1_Year,40-49,34948,13716,7.74,3.04
All,40-49,35339,14887,5.86,2.47
1_Month,50-59,1536,160,32.58,3.39
3_Month,50-59,2762,325,24.46,2.88
6_Month,50-59,10474,1926,14.16,2.6
1_Year,50-59,23246,7608,7.14,2.34
All,50-59,23486,8164,5.5,1.91
1_Month,60-69,1208,85,22.84,1.61
3_Month,60-69,2362,177,17.47,1.31
6_Month,60-69,8184,1076,10.02,1.32
1_Year,60-69,15404,4060,5.97,1.57
All,60-69,15568,4286,4.82,1.33
1_Month,70-79,862,49,16.05,0.91
3_Month,70-79,1752,102,12.19,0.71
6_Month,70-79,5407,482,7.17,0.64
1_Year,70-79,8316,1328,4.77,0.76
All,70-79,8409,1421,4.05,0.68
1_Month,80+,569,50,16.37,1.44
3_Month,80+,1105,93,13.17,1.11
6_Month,80+,3607,357,8.67,0.86
1_Year,80+,5326,822,6,0.93
All,80+,5406,891,4.86,0.8
