period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,238,1053,4.58,20.27
3_Month,5-11,740,4836,1.79,11.7
6_Month,5-11,2102,41130,0.46,8.95
1_Year,5-11,2102,42680,0.36,7.23
All,5-11,2102,42911,0.3,6.2
1_Month,12-15,216,312,6.35,9.17
3_Month,12-15,817,1373,3.8,6.39
6_Month,12-15,6992,15074,3.15,6.78
1_Year,12-15,7056,16136,2.68,6.13
All,12-15,7056,16391,2.13,4.94
1_Month,16-19,268,98,10.73,3.92
3_Month,16-19,1223,590,6.38,3.08
6_Month,16-19,11246,8828,6.23,4.89
1_Year,16-19,11436,9823,5.47,4.7
All,16-19,11447,10104,3.93,3.47
1_Month,20-29,778,242,9.67,3.01
3_Month,20-29,4029,1391,6.68,2.31
6_Month,20-29,26682,16288,7.04,4.3
1_Year,20-29,27129,18424,6.06,4.11
All,20-29,27160,18880,4.51,3.13
1_Month,30-39,789,319,7.87,3.18
3_Month,30-39,4062,1568,5.7,2.2
6_Month,30-39,24171,14517,5.88,3.53
1_Year,30-39,24555,16069,5.09,3.33
All,30-39,24608,16390,4.12,2.74
1_Month,40-49,858,235,8.05,2.21
3_Month,40-49,3618,1189,5.24,1.72
6_Month,40-49,21222,10738,5.59,2.83
1_Year,40-49,21546,11678,4.96,2.69
All,40-49,21606,11914,4.06,2.24
1_Month,50-59,621,121,6.17,1.2
3_Month,50-59,2508,713,4.4,1.25
6_Month,50-59,13178,5764,5.12,2.24
1_Year,50-59,13352,6153,4.65,2.14
All,50-59,13399,6317,3.73,1.76
1_Month,60-69,469,70,4.3,0.64
3_Month,60-69,1702,365,3.32,0.71
6_Month,60-69,7522,3019,4.12,1.65
1_Year,60-69,7638,3160,3.79,1.57
All,60-69,7671,3245,3.1,1.31
1_Month,70-79,299,27,3.03,0.27
3_Month,70-79,837,124,2.24,0.33
6_Month,70-79,3119,862,2.98,0.82
1_Year,70-79,3186,905,2.77,0.79
All,70-79,3206,954,2.32,0.69
1_Month,80+,135,20,3.23,0.48
3_Month,80+,453,78,2.72,0.47
6_Month,80+,1817,474,3.65,0.95
1_Year,80+,1861,497,3.33,0.89
All,80+,1891,542,2.62,0.75
