age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.4,80.8,18.8
12-15,65.7,54.7,15,0.1,0.9,46.4,52.7
16-19,89.3,78.3,46,0.3,0.6,23.8,75.6
20-29,85.7,77.2,54.8,1,0.7,12.8,86.5
30-39,89,82.1,59.8,2.4,1,10.4,88.6
40-49,90.6,84.8,67.1,4,1.4,8.6,90
50-59,91.3,86.6,73.4,8.1,2.6,5.9,91.6
60-69,93.2,90.3,80.9,34.9,5.7,7.4,86.9
70-79,92.1,90.7,87.5,55.7,11.6,1.5,86.9
80+,95.3,93.3,87.7,59.4,12.4,5,82.7
