period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,391,1163,11.3,33.62
3_Month,5-11,2714,9911,8.52,31.12
6_Month,5-11,3484,15776,3.97,17.96
1_Year,5-11,4687,51628,0.8,8.76
All,5-11,4687,52250,0.65,7.24
1_Month,12-15,232,259,14.98,16.72
3_Month,12-15,1748,2371,11.43,15.51
6_Month,12-15,2675,3931,6.29,9.24
1_Year,12-15,8654,17986,3.26,6.79
All,12-15,8668,18591,2.51,5.39
1_Month,16-19,613,168,25.76,7.06
3_Month,16-19,3316,1087,19.54,6.41
6_Month,16-19,4710,1757,11.39,4.25
1_Year,16-19,14477,10594,6.69,4.9
All,16-19,14588,11130,4.75,3.63
1_Month,20-29,2055,457,23.66,5.26
3_Month,20-29,10133,2786,19.03,5.23
6_Month,20-29,14517,4306,11.77,3.49
1_Year,20-29,36571,20563,7.7,4.33
All,20-29,36759,21518,5.65,3.31
1_Month,30-39,2297,585,22.29,5.68
3_Month,30-39,11552,3556,17.48,5.38
6_Month,30-39,15961,5209,10.77,3.51
1_Year,30-39,35457,19079,6.81,3.66
All,30-39,35643,19741,5.42,3
1_Month,40-49,2069,447,20.41,4.41
3_Month,40-49,10831,2705,16.26,4.06
6_Month,40-49,14590,3936,10.05,2.71
1_Year,40-49,31667,14011,6.67,2.95
All,40-49,31861,14458,5.38,2.44
1_Month,50-59,1593,257,16.03,2.59
3_Month,50-59,7702,1605,12.19,2.54
6_Month,50-59,10278,2333,8.23,1.87
1_Year,50-59,20546,7582,6.21,2.29
All,50-59,20674,7831,4.98,1.89
1_Month,60-69,1267,169,11,1.47
3_Month,60-69,5798,906,8.44,1.32
6_Month,60-69,7402,1289,6.14,1.07
1_Year,60-69,13039,3971,5.15,1.57
All,60-69,13147,4102,4.25,1.33
1_Month,70-79,868,72,8.03,0.67
3_Month,70-79,3636,382,5.92,0.62
6_Month,70-79,4344,507,4.5,0.52
1_Year,70-79,6566,1249,4.01,0.76
All,70-79,6616,1318,3.43,0.68
1_Month,80+,770,85,10.83,1.2
3_Month,80+,2480,262,7.44,0.79
6_Month,80+,2896,347,5.89,0.71
1_Year,80+,4212,741,5.08,0.89
All,80+,4269,797,4.16,0.78
