instituteDesc,occupancy,gOccupancy,occupancyDate
Poriah Hospital               ,71.8,81.7,2022-08-23T00:00:00.000Z
Meir Hospital                 ,74,82.1,2022-08-23T00:00:00.000Z
Rabin K. Hasharon             ,75.4,71.4,2022-08-23T00:00:00.000Z
Laniado                       ,83.3,103.6,2022-08-23T00:00:00.000Z
Bnei Ziom Medical Center      ,91.7,84.1,2022-08-23T00:00:00.000Z
Shmuel Harofe                 ,100,83.6,2022-08-23T00:00:00.000Z
      Ziv Hospital            ,107.8,79.3,2022-08-23T00:00:00.000Z
Kaplan Hospital               ,107.3,88,2022-08-23T00:00:00.000Z
Chaim Sheba Medical Center    ,108.4,109.5,2022-08-23T00:00:00.000Z
Rabin K. Beilinson            ,113.2,92.6,2022-08-23T00:00:00.000Z
Assuta Ashdod                 ,120.3,102,2022-08-23T00:00:00.000Z
