period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1019,3425,10.01,33.64
3_Month,5-11,2738,10218,8.05,30.03
6_Month,5-11,3694,21888,2.36,13.99
1_Year,5-11,4589,51498,0.76,8.48
All,5-11,4589,51948,0.64,7.21
1_Month,12-15,555,679,14.51,17.75
3_Month,12-15,1770,2417,10.67,14.58
6_Month,12-15,3543,5520,4.95,7.71
1_Year,12-15,8583,18062,3.16,6.65
All,12-15,8588,18491,2.49,5.37
1_Month,16-19,1384,392,24.1,6.83
3_Month,16-19,3260,1079,18.67,6.18
6_Month,16-19,5716,2248,9.24,3.63
1_Year,16-19,14342,10718,6.49,4.85
All,16-19,14420,11083,4.71,3.62
1_Month,20-29,4475,1117,22.79,5.69
3_Month,20-29,9836,2763,18.17,5.1
6_Month,20-29,16625,5259,10.33,3.27
1_Year,20-29,36057,20787,7.41,4.27
All,20-29,36165,21390,5.58,3.3
1_Month,30-39,5187,1419,21.48,5.88
3_Month,30-39,11205,3503,16.61,5.19
6_Month,30-39,18224,6263,9.16,3.15
1_Year,30-39,34840,19130,6.55,3.6
All,30-39,34965,19555,5.34,2.99
1_Month,40-49,4558,1115,19.5,4.77
3_Month,40-49,10549,2658,15.47,3.9
6_Month,40-49,16480,4676,8.55,2.43
1_Year,40-49,31110,14025,6.43,2.9
All,40-49,31248,14327,5.3,2.43
1_Month,50-59,3330,649,14.85,2.89
3_Month,50-59,7404,1557,11.55,2.43
6_Month,50-59,11293,2718,7.35,1.77
1_Year,50-59,20062,7552,5.97,2.25
All,50-59,20158,7752,4.89,1.88
1_Month,60-69,2564,378,10.26,1.51
3_Month,60-69,5532,868,8.01,1.26
6_Month,60-69,7802,1456,5.68,1.06
1_Year,60-69,12650,3930,4.96,1.54
All,60-69,12736,4040,4.17,1.32
1_Month,70-79,1633,177,7.27,0.79
3_Month,70-79,3407,366,5.57,0.6
6_Month,70-79,4313,572,4.15,0.55
1_Year,70-79,6267,1238,3.84,0.76
All,70-79,6305,1298,3.34,0.69
1_Month,80+,1207,133,8.79,0.97
3_Month,80+,2231,248,6.92,0.77
6_Month,80+,2777,376,5.29,0.72
1_Year,80+,3931,719,4.78,0.87
All,80+,3976,771,3.97,0.77
