age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,354528,282177,635971,55.7,44.4,450,0.1
16-19,507939,439072,591331,85.9,74.3,175918,29.7
20-29,1091504,976934,1319364,82.7,74,578937,43.9
30-39,1047822,961250,1207243,86.8,79.6,602973,49.9
40-49,987310,917688,1110965,88.9,82.6,660725,59.5
50-59,785751,739724,874608,89.8,84.6,585965,67
60-69,686518,659768,747217,91.9,88.3,565789,75.7
70-79,475209,464336,526929,90.2,88.1,431195,81.8
80-89,215093,209386,238729,90.1,87.7,188347,78.9
90+,48913,47090,58687,83.3,80.2,40901,69.7
