age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,147,0,1245,43.9,0,488,0,0,1,0,0,0.4
16-19,169,236,576,51.2,235.1,454.6,0,0,0,0,0,0
20-29,376,626,1006,48.9,247.6,446.5,1,3,13,0.1,1.2,5.8
30-39,440,701,1048,57.6,311.4,646.3,0,2,19,0,0.9,11.7
40-49,343,453,752,43.6,282.6,601.8,3,2,48,0.4,1.2,38.4
50-59,190,256,440,28.5,257.2,512.8,8,8,71,1.2,8,82.8
60-69,172,152,312,27.7,280.6,511.4,17,7,57,2.7,12.9,93.4
70-79,136,79,204,30.2,270.2,491.7,17,7,38,3.8,23.9,91.6
80-89,104,47,113,53,261.3,557.6,9,3,19,4.6,16.7,93.8
90+,30,7,29,72,94.5,370.9,2,0,7,4.8,0,89.5
