instituteDesc,occupancy,gOccupancy,occupancyDate
,,,2022-11-28T00:00:00.000Z
Tel Aviv Medical Center       ,,,2022-11-28T00:00:00.000Z
,,,2022-11-28T00:00:00.000Z
Woolfson Medical Center       ,75.8,78,2022-11-28T00:00:00.000Z
Yosephtal Hospital            ,75,52.3,2022-11-28T00:00:00.000Z
Soroka Medical Center         ,75.2,86.4,2022-11-28T00:00:00.000Z
Rabin K. Hasharon             ,78.9,76.3,2022-11-28T00:00:00.000Z
Assaf Harofeh Medical Center  ,84.2,72.6,2022-11-28T00:00:00.000Z
Assuta Ashdod                 ,132.2,110.2,2022-11-28T00:00:00.000Z
Bnei Ziom Medical Center      ,,,2022-11-28T00:00:00.000Z
Meir Hospital                 ,83,86.6,2022-11-28T00:00:00.000Z
      Ziv Hospital            ,84.4,79.5,2022-11-28T00:00:00.000Z
Haemek Valley Center Hospital ,89.7,74.1,2022-11-28T00:00:00.000Z
Poriah Hospital               ,89.7,76.3,2022-11-28T00:00:00.000Z
Rambam                        ,94.4,89.4,2022-11-28T00:00:00.000Z
Hillel Yaffeh Medical Center  ,102.1,93.8,2022-11-28T00:00:00.000Z
Barzilai Medical Center       ,103.6,83.8,2022-11-28T00:00:00.000Z
,,,2022-11-28T00:00:00.000Z
Hadassah Mount Scopus         ,80.6,78.5,2022-11-28T00:00:00.000Z
Hacarmel Hospital             ,82.1,82.6,2022-11-28T00:00:00.000Z
Chaim Sheba Medical Center    ,104.2,107.3,2022-11-28T00:00:00.000Z
Nahariya                      ,111.1,83.5,2022-11-28T00:00:00.000Z
Kaplan Hospital               ,113.3,100.5,2022-11-28T00:00:00.000Z
Rabin K. Beilinson            ,125.6,97.9,2022-11-28T00:00:00.000Z
Hadassah Ein Kerem            ,132,97.4,2022-11-28T00:00:00.000Z
The Holy Family               ,,,2022-11-28T00:00:00.000Z
,,,2022-11-28T00:00:00.000Z
Laniado                       ,105.1,88.7,2022-11-28T00:00:00.000Z
Mayanei Hayeshua              ,,,2022-11-28T00:00:00.000Z
,,,2022-11-28T00:00:00.000Z
Shmuel Harofe                 ,,,2022-11-28T00:00:00.000Z
Shaare Zedek                  ,,,2022-11-28T00:00:00.000Z
