age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,173128,57488,34,14,4.6,0,2.3,97.7,0
12-15,393238,317848,16784,61.8,50,2.6,58.78,41.2,0.02
16-19,521282,453719,223902,88.2,76.7,37.9,65.76,20.62,13.62
20-29,1117923,999375,676445,84.7,75.7,51.3,68.02,15.27,16.71
30-39,1065554,977039,682102,88.3,80.9,56.5,71.32,12.24,16.44
40-49,999340,929336,712616,90,83.7,64.1,77.13,10.25,12.62
50-59,793019,747523,617033,90.7,85.5,70.5,81.3,8.58,10.12
60-69,690764,664964,583120,92.4,89,78,85.98,7.48,6.54
70-79,477484,467351,441180,90.6,88.7,83.7,88.9,6.08,5.02
80-89,216050,210769,192999,90.5,88.3,80.8,85.8,7.1,7.11
90+,49195,47413,42345,83.8,80.8,72.2,76.61,10.59,12.8
