instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. Hasharon             ,57,43.2,2022-10-17T00:00:00.000Z
      Ziv Hospital            ,64.1,58.5,2022-10-17T00:00:00.000Z
Soroka Medical Center         ,70.2,72,2022-10-17T00:00:00.000Z
Woolfson Medical Center       ,75.4,59.7,2022-10-17T00:00:00.000Z
Hacarmel Hospital             ,76.4,65.2,2022-10-17T00:00:00.000Z
Laniado                       ,76.9,80.2,2022-10-17T00:00:00.000Z
Poriah Hospital               ,78.2,62.5,2022-10-17T00:00:00.000Z
Hadassah Mount Scopus         ,83.3,68.1,2022-10-17T00:00:00.000Z
Assaf Harofeh Medical Center  ,85.3,59.3,2022-10-17T00:00:00.000Z
Bnei Ziom Medical Center      ,87.6,71.6,2022-10-17T00:00:00.000Z
Hillel Yaffeh Medical Center  ,87,69.5,2022-10-17T00:00:00.000Z
Yosephtal Hospital            ,87.5,40,2022-10-17T00:00:00.000Z
Haemek Valley Center Hospital ,89.7,71.8,2022-10-17T00:00:00.000Z
Kaplan Hospital               ,92.7,86.4,2022-10-17T00:00:00.000Z
Meir Hospital                 ,94,83.2,2022-10-17T00:00:00.000Z
Tel Aviv Medical Center       ,95,93.9,2022-10-17T00:00:00.000Z
Rambam                        ,98,75.8,2022-10-17T00:00:00.000Z
Barzilai Medical Center       ,99.5,71.7,2022-10-17T00:00:00.000Z
Shmuel Harofe                 ,102.8,83.9,2022-10-17T00:00:00.000Z
Nahariya                      ,103.7,76.9,2022-10-17T00:00:00.000Z
Chaim Sheba Medical Center    ,112.1,98.5,2022-10-17T00:00:00.000Z
Rabin K. Beilinson            ,115,82.7,2022-10-17T00:00:00.000Z
Hadassah Ein Kerem            ,117.5,83.1,2022-10-17T00:00:00.000Z
Assuta Ashdod                 ,128.8,86,2022-10-17T00:00:00.000Z
