age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,298,483,2013,276.7,308.1,216,0,1,0,0,0.6,0
12-15,85,612,389,92.7,236.5,145.4,0,0,0,0,0,0
16-19,43,1158,267,46.2,324.3,203,0,0,0,0,0,0
20-29,216,4633,914,103.5,503.6,526.1,0,3,1,0,0.3,0.6
30-39,298,6238,1083,137.9,731.3,857.7,0,5,0,0,0.6,0
40-49,425,5886,844,209.9,736.5,850.7,1,6,1,0.5,0.8,1
50-59,578,5381,599,359.5,830.5,1022.8,0,13,1,0,2,1.7
60-69,1201,8950,662,1026.7,1578.9,1156.8,9,39,9,7.7,6.9,15.7
70-79,1410,8910,532,1788.3,2126,2537.1,12,70,16,15.2,16.7,76.3
80+,1067,6186,549,2733.9,2781.3,3236.8,25,115,30,64.1,51.7,176.9
