instituteDesc,occupancy,gOccupancy,occupancyDate
Poriah Hospital               ,61.5,64.2,2022-07-23T00:00:00.000Z
Rabin K. Hasharon             ,64,63.9,2022-07-23T00:00:00.000Z
Hacarmel Hospital             ,65.1,74.2,2022-07-23T00:00:00.000Z
Soroka Medical Center         ,65.9,75.2,2022-07-23T00:00:00.000Z
Bnei Ziom Medical Center      ,66.1,67.4,2022-07-23T00:00:00.000Z
Laniado                       ,67.9,89.4,2022-07-23T00:00:00.000Z
Woolfson Medical Center       ,70.1,73.8,2022-07-23T00:00:00.000Z
Yosephtal Hospital            ,75,38.5,2022-07-23T00:00:00.000Z
Barzilai Medical Center       ,80.7,72,2022-07-23T00:00:00.000Z
Nahariya                      ,85.8,77.5,2022-07-23T00:00:00.000Z
Shmuel Harofe                 ,86.1,81.5,2022-07-23T00:00:00.000Z
Shaare Zedek                  ,88,90.1,2022-07-23T00:00:00.000Z
Kaplan Hospital               ,89.3,99.1,2022-07-23T00:00:00.000Z
Rambam                        ,89.9,81.6,2022-07-23T00:00:00.000Z
Hadassah Mount Scopus         ,91.7,76.7,2022-07-23T00:00:00.000Z
Rabin K. Beilinson            ,103.1,87.4,2022-07-23T00:00:00.000Z
Assuta Ashdod                 ,105.1,88.7,2022-07-23T00:00:00.000Z
      Ziv Hospital            ,107.8,61.4,2022-07-23T00:00:00.000Z
Hadassah Ein Kerem            ,111.7,85.4,2022-07-23T00:00:00.000Z
,,36.2,2022-07-23T00:00:00.000Z
