age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.9,16.8,0,0,22.51,77.48,0
12-15,65.4,54.1,13.9,0,55.98,39.4,4.62
16-19,89.2,77.9,45.2,0.1,69.71,19.86,10.43
20-29,85.5,76.7,54,0.3,73.1,14.24,12.66
30-39,88.9,81.7,59.1,1,76.18,11.45,12.36
40-49,90.4,84.3,66.4,1.6,80.71,9.61,9.68
50-59,91,86.1,72.6,3.1,83.97,7.9,8.13
60-69,92.7,89.7,80,28.3,87.31,7.23,5.46
70-79,90.8,89.3,85.7,46.4,90.5,5.13,4.37
80-89,90.8,88.9,83.2,48.5,88.09,5.53,6.38
90+,84.3,81.6,75.6,46.2,81.58,6.13,12.29
