period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,923,3628,7.29,28.67
3_Month,5-11,1400,6738,3.8,18.28
6_Month,5-11,2924,44162,0.63,9.49
1_Year,5-11,2927,45814,0.49,7.63
All,5-11,2927,46058,0.42,6.55
1_Month,12-15,754,1065,9.59,13.54
3_Month,12-15,1213,1891,6.16,9.6
6_Month,12-15,7604,15901,3.36,7.02
1_Year,12-15,7698,17002,2.86,6.32
All,12-15,7698,17290,2.28,5.12
1_Month,16-19,1046,392,15.4,5.77
3_Month,16-19,1708,749,10.39,4.56
6_Month,16-19,12114,9129,6.54,4.93
1_Year,16-19,12329,10157,5.75,4.74
All,16-19,12344,10440,4.16,3.51
1_Month,20-29,2859,869,14.64,4.45
3_Month,20-29,4971,1770,9.72,3.46
6_Month,20-29,28985,16953,7.39,4.32
1_Year,20-29,29510,19152,6.38,4.14
All,20-29,29542,19612,4.79,3.18
1_Month,30-39,3055,1086,12.91,4.59
3_Month,30-39,5504,2119,8.39,3.23
6_Month,30-39,26671,15365,6.24,3.6
1_Year,30-39,27153,16976,5.43,3.39
All,30-39,27209,17299,4.42,2.81
1_Month,40-49,3213,836,12.79,3.33
3_Month,40-49,5310,1615,8.14,2.47
6_Month,40-49,23837,11392,6,2.87
1_Year,40-49,24224,12369,5.34,2.73
All,40-49,24292,12609,4.4,2.28
1_Month,50-59,2182,485,9.24,2.05
3_Month,50-59,3631,941,6.31,1.64
6_Month,50-59,14930,6148,5.45,2.24
1_Year,50-59,15131,6555,4.96,2.15
All,50-59,15181,6719,4.03,1.78
1_Month,60-69,1552,241,6.27,0.97
3_Month,60-69,2568,489,4.49,0.86
6_Month,60-69,8744,3217,4.36,1.6
1_Year,60-69,8884,3362,4.04,1.53
All,60-69,8920,3451,3.35,1.3
1_Month,70-79,956,93,4.31,0.42
3_Month,70-79,1464,182,3.2,0.4
6_Month,70-79,3855,943,3.19,0.78
1_Year,70-79,3933,984,3,0.75
All,70-79,3953,1035,2.56,0.67
1_Month,80+,507,59,5,0.58
3_Month,80+,812,114,3.83,0.54
6_Month,80+,2235,521,3.9,0.91
1_Year,80+,2279,544,3.59,0.86
All,80+,2310,589,2.89,0.74
