age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,24.17,75.83,0
12-15,65.5,54.4,14.3,0,50.54,39.94,9.52
16-19,89.3,78.1,45.6,0.1,68.57,20.14,11.29
20-29,85.7,76.9,54.4,0.6,74.17,13.87,11.96
30-39,89.1,82,59.5,1.6,77.55,11.24,11.21
40-49,90.6,84.6,66.7,2.7,81.72,9.4,8.88
50-59,91.1,86.3,72.9,5.4,84.85,7.49,7.67
60-69,92.8,89.8,80.2,30.4,87.76,7.1,5.13
70-79,90.9,89.4,85.9,49.1,91.74,4.09,4.17
80-89,90.8,89,83.5,51.3,89.16,4.71,6.13
90+,84.4,81.7,76.1,49.4,84.08,3.81,12.11
