age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
12-15,362794,297480,635971,57,46.8,531,0.1,58.17,41.81,0.01
16-19,515026,446902,591331,87.1,75.6,196319,33.2,62.64,21.29,16.07
20-29,1105374,986372,1319364,83.8,74.8,633041,48,65.04,16.47,18.49
30-39,1056668,968035,1207243,87.5,80.2,643855,53.3,68.8,13.09,18.11
40-49,993392,922528,1110965,89.4,83,687016,61.8,75.23,10.88,13.89
50-59,789445,742878,874608,90.3,84.9,601839,68.8,79.73,9.35,10.93
60-69,688600,661897,747217,92.2,88.6,574599,76.9,85.17,7.88,6.95
70-79,476342,465659,526929,90.4,88.4,436406,82.8,87.5,7.22,5.29
80-89,215592,210015,238729,90.3,88,190980,80,84.66,7.98,7.37
90+,49051,47245,58687,83.6,80.5,41752,71.1,74.63,12.52,12.85
