period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,227,526,14.66,33.98
3_Month,5-11,1876,6214,10.05,33.3
6_Month,5-11,3353,13022,6.36,24.68
1_Year,5-11,4928,51343,0.96,9.96
All,5-11,4928,52840,0.68,7.31
1_Month,12-15,250,222,19.87,17.65
3_Month,12-15,1175,1386,15.21,17.94
6_Month,12-15,2381,3259,9.14,12.51
1_Year,12-15,8892,17627,3.67,7.27
All,12-15,8939,18824,2.58,5.44
1_Month,16-19,227,62,25.91,7.08
3_Month,16-19,2325,687,23.36,6.9
6_Month,16-19,4090,1446,16.05,5.68
1_Year,16-19,14664,10055,7.32,5.02
All,16-19,14857,11205,4.82,3.64
1_Month,20-29,591,115,24.86,4.84
3_Month,20-29,7380,1865,22.27,5.63
6_Month,20-29,12546,3674,15.57,4.56
1_Year,20-29,37076,19372,8.47,4.43
All,20-29,37515,21663,5.74,3.31
1_Month,30-39,800,157,24.71,4.85
3_Month,30-39,8711,2396,21.05,5.79
6_Month,30-39,14483,4602,13.97,4.44
1_Year,30-39,36205,18304,7.49,3.79
All,30-39,36601,19923,5.53,3.01
1_Month,40-49,881,168,24.08,4.59
3_Month,40-49,7975,1892,19.5,4.63
6_Month,40-49,13588,3546,13.14,3.43
1_Year,40-49,32565,13631,7.23,3.03
All,40-49,32917,14655,5.52,2.46
1_Month,50-59,648,93,17.34,2.49
3_Month,50-59,5831,1115,14.77,2.82
6_Month,50-59,9647,2090,10.13,2.2
1_Year,50-59,21227,7450,6.61,2.32
All,50-59,21444,7947,5.11,1.89
1_Month,60-69,562,58,12.35,1.27
3_Month,60-69,4587,672,10.35,1.52
6_Month,60-69,7335,1177,7.25,1.16
1_Year,60-69,13670,3970,5.44,1.58
All,60-69,13824,4175,4.4,1.33
1_Month,70-79,452,27,9,0.54
3_Month,70-79,3014,302,7.39,0.74
6_Month,70-79,4608,496,5.27,0.57
1_Year,70-79,7074,1266,4.25,0.76
All,70-79,7156,1356,3.6,0.68
1_Month,80+,271,26,10.27,0.99
3_Month,80+,2184,228,9.05,0.94
6_Month,80+,3089,345,6.72,0.75
1_Year,80+,4535,763,5.41,0.91
All,80+,4613,826,4.36,0.78
