age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.38,81.12,18.5
12-15,65.7,54.7,15,0,0.84,47.06,52.1
16-19,89.3,78.3,46,0.2,0.64,24.16,75.2
20-29,85.7,77.2,54.8,0.9,0.83,12.65,86.52
30-39,89,82.1,59.8,2.1,1.31,10.3,88.39
40-49,90.6,84.8,67.1,3.6,1.99,8.46,89.54
50-59,91.3,86.6,73.4,7.4,3.89,5.62,90.49
60-69,93.2,90.4,80.9,34.2,10.11,7.32,82.57
70-79,92.1,90.7,87.4,54.8,21.88,0.89,77.23
80+,95.3,93.3,87.6,58.2,24.11,4.66,71.23
