age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,98588,283,29,8,0,0,0.05,99.95,0
12-15,382441,305931,3643,60.1,48.1,0.6,58.53,41.45,0.02
16-19,519192,451752,212216,87.8,76.4,35.9,64.63,20.83,14.54
20-29,1113807,995107,662916,84.4,75.4,50.2,66.92,15.62,17.46
30-39,1062563,973840,669744,88,80.7,55.5,70.3,12.53,17.17
40-49,997271,926879,703917,89.8,83.4,63.4,76.38,10.46,13.16
50-59,791763,745881,611850,90.5,85.3,70,80.7,8.82,10.47
60-69,690016,663854,580138,92.3,88.8,77.6,85.66,7.61,6.73
70-79,477093,466681,439442,90.5,88.6,83.4,88.39,6.47,5.15
80-89,215893,210528,192318,90.4,88.2,80.6,85.37,7.39,7.24
90+,49147,47361,42167,83.7,80.7,71.9,75.81,11.3,12.89
