age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,358745,290359,635971,56.4,45.7,480,0.1
16-19,511301,442690,591331,86.5,74.9,186177,31.5
20-29,1097469,980451,1319364,83.2,74.3,608189,46.1
30-39,1051633,963710,1207243,87.1,79.8,624516,51.7
40-49,989911,919441,1110965,89.1,82.8,674823,60.7
50-59,787377,740889,874608,90,84.7,594382,68
60-69,687457,660684,747217,92,88.4,570574,76.4
70-79,475763,464985,526929,90.3,88.2,434002,82.4
80-89,215332,209672,238729,90.2,87.8,189869,79.5
90+,48980,47158,58687,83.5,80.4,41396,70.5
