age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.6,0,0,23.4,76.6,0.1
12-15,65.6,54.5,14.7,0,42.5,42.1,15.5
16-19,89.2,78.2,45.8,0.2,43.5,22.1,34.4
20-29,85.6,77,54.7,0.8,40.9,13.5,45.6
30-39,88.9,81.9,59.6,1.9,44.1,10.6,45.3
40-49,90.5,84.6,67,3.2,44.9,9.2,45.9
50-59,91.2,86.5,73.2,6.7,43.1,7,49.9
60-69,93.1,90.2,80.8,33.3,56.9,7.9,35.2
70-79,92,90.6,87.3,53.8,68.1,4.9,27
80+,95.2,93.2,87.4,57.4,67.6,6.4,26
