age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,262109,113386,44,21.2,9.2,0,10.47,89.53,0
12-15,406678,328650,54252,63.9,51.7,8.5,59.23,40.52,0.25
16-19,524751,456909,247017,88.7,77.3,41.8,67.32,20.29,12.39
20-29,1123780,1004840,695417,85.2,76.2,52.7,69.45,14.85,15.7
30-39,1069775,981137,698565,88.6,81.3,57.9,72.56,11.9,15.54
40-49,1002340,932720,725656,90.2,84,65.3,78.1,9.95,11.95
50-59,794667,749866,625871,90.9,85.7,71.6,82.06,8.31,9.63
60-69,691778,666950,589831,92.6,89.3,78.9,86.31,7.4,6.28
70-79,477995,468580,445796,90.7,88.9,84.6,89.33,5.83,4.84
80-89,216297,211239,194993,90.6,88.5,81.7,86.8,6.23,6.97
90+,49290,47546,42911,84,81,73.1,79.18,7.93,12.89
