age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,277055,187600,618088,44.8,30.4,32,0
16-19,469098,404933,583545,80.4,69.4,1276,0.2
20-29,1042572,947028,1300361,80.2,72.8,18195,1.4
30-39,1010709,937368,1197026,84.4,78.3,114626,9.6
40-49,960128,897612,1098556,87.4,81.7,280476,25.5
50-59,769956,725546,849966,90.6,85.4,387493,45.6
60-69,678916,650670,741639,91.5,87.7,474844,64
70-79,471690,459137,490784,96.1,93.6,388334,79.1
80-89,213521,207403,225538,94.7,92,169290,75.1
90+,48531,46665,51496,94.2,90.6,35998,69.9
