age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,348923,274248,635971,54.9,43.1,405,0.1
16-19,503848,435571,591331,85.2,73.7,160896,27.2
20-29,1083569,972903,1319364,82.1,73.7,534104,40.5
30-39,1042462,958161,1207243,86.4,79.4,569697,47.2
40-49,983613,915341,1110965,88.5,82.4,637705,57.4
50-59,783533,738157,874608,89.6,84.4,572553,65.5
60-69,685384,658730,747217,91.7,88.2,559219,74.8
70-79,474677,463680,526929,90.1,88,427980,81.2
80-89,214862,209127,238729,90,87.6,186719,78.2
90+,48864,47050,58687,83.3,80.2,40388,68.8
