מזהה,SettlementName,SettlementCode,District,SubDistrict,NaturalArea,MunicipalStatus,Metropolin,SettlementReligion,pop2013,JewsAndOthers,Jews,Arabs,FoundationYear,SettlementForm,Organization,AvarageHeight,EnglishName,PlanningCommittee,PoliceZone,X_ITM,Y_ITM,X_GEO,Y_GEO,yesod
388,הראל,464,1,11,112,26,444,1,219,0.2,0.2,,1948,330,15,200,Har'el,151,7004,195310,635170,34.949432891627,31.8090207407213,-691639200000
389,הרדוף,1249,2,23,237,9,242,1,1038,1,1,,1982,330,15,172,Harduf,254,1340,216380,741110,35.1716069049053,32.7646053676879,381362400000
390,הרצלייה,6400,5,51,511,0,121,1,89813,89.7,86.3,,1924,150,,39,Herzliyya,504,2360,184540,675220,34.8342472541915,32.169909910702,-1449021600000
391,הררית,1203,2,24,241,56,,1,357,0.4,0.3,,1980,370,7,479,Hararit,205,1360,234680,750120,35.3670550969475,32.8457466098884,318204000000
392,השומרון,1999,7,71,,100,,,,,,,,530,,,,,9999,223560,651370,35.2478442981803,31.9553644774915,-2206318840000
393,ורד יריחו,3639,7,75,,74,,1,221,0.2,0.2,,1980,310,10,-166,Wered Yeriho,713,4355,241130,637140,35.4333729183017,31.8268361785275,318204000000
394,ורדון,1133,6,61,611,35,,1,254,0.3,0.3,,1968,350,,100,Wardon,632,3820,179390,619110,34.7819657794701,31.6637403160477,-60487200000
395,זבארגה (שבט),2742,6,62,623,100,,3,,,,,,460,,,,699,3481,203200,571700,35.0338005647411,31.2367414976922,-2206318840000
396,זבדיאל,815,6,61,611,34,,1,486,0.5,0.5,,1950,310,8,90,Zavdi'el,631,3820,177310,618580,34.7600569196219,31.6588861342076,-628480800000
397,זוהר,44,6,61,612,50,,1,326,0.3,0.3,,1956,310,10,117,Zohar,634,3820,170880,611560,34.6926094252132,31.595323895491,-439178400000
398,זיקים,584,6,61,614,36,,1,599,0.6,0.6,,1949,330,15,24,Ziqim,633,3840,154640,613180,34.5213979575167,31.6091331335389,-660016800000
399,זיתן,788,4,43,432,40,133,1,1047,1,1,,1950,310,1,40,Zetan,425,5280,189780,653650,34.8904674092325,31.9755451040366,-628480800000
400,זכרון יעקב,9300,3,32,322,99,,1,21432,21.4,20.7,,1882,160,,78,Zikhron Ya'aqov,353,1181,195770,719620,34.9521995846307,32.5705782968971,-2774312440000
401,זכריה,799,1,11,112,26,,1,994,1,1,,1950,310,1,268,Zekharya,151,7004,194850,624150,34.944852434442,31.7096287642751,-628480800000
402,זמר,1290,4,41,412,99,141,2,6287,,,6.3,,280,,86,Zemer,458,5150,203510,696850,35.0350081421302,32.3653907502991,-2206318840000
403,זמרת,1065,6,62,621,39,,1,365,0.4,0.4,,1957,310,2,121,Zimrat,653,3482,157430,595290,34.5519201464928,31.4479517990682,-407556000000
404,זנוח,816,1,11,112,26,444,1,482,0.5,0.5,,1950,310,8,291,Zanoah,151,7004,200000,626670,34.9991320648614,31.7324542202185,-628480800000
405,זרועה,2064,6,62,621,39,,1,398,0.4,0.4,,1953,310,2,134,Zeru'a,653,3482,164290,596420,34.624021185489,31.4584898373615,-533786400000
406,זרזיר,975,2,23,237,99,242,2,7061,,,7,,280,,184,Zarzir,254,1440,221120,736680,35.2221850189379,32.7246629580385,-2206318840000
407,זרחיה,818,6,61,611,34,,1,685,0.7,0.7,,1950,310,2,72,Zerahya,631,3830,175940,621100,34.7455006415785,31.6815610756247,-628480800000
408,ח'ואלד,1321,3,31,311,12,222,2,399,,,0.4,,450,,62,Khawaled,301,1160,213100,741740,35.136597921852,32.7702720201174,-2206318840000
409,ח'ואלד (שבט),986,2,25,237,100,,3,,,,,,460,,,,299,1160,215010,740510,35.1569889137198,32.7591904870166,-2206318840000
410,חבצלת השרון,235,4,41,411,16,141,1,544,0.5,0.5,,1935,310,10,22,Havazzelet HaSharon,409,5120,187290,696350,34.8626896521566,32.3605328147812,-1101866400000
411,חבר,1110,2,23,234,8,,1,394,0.4,0.4,,1958,350,,71,Hever,204,1420,225080,717080,35.2643100154512,32.5479131116279,-376020000000
412,חגור,717,4,42,421,20,142,1,1095,1.1,1.1,,1949,310,1,34,Hagor,417,5150,195160,671580,34.9469338851206,32.1373644825503,-660016800000
413,חגי,3764,7,77,,78,,1,552,0.6,0.6,,1984,370,11,854,Haggay,715,4352,207620,600150,35.0798577489491,31.4933844496116,444434400000
414,חגלה,205,4,41,411,16,141,1,830,0.8,0.8,,1933,310,1,18,Hogla,409,5120,193280,699240,34.9262493173303,32.3867496278467,-1164938400000
415,חד-נס,4026,2,29,293,71,,1,785,0.8,0.8,,1989,370,9,-7,Had-Nes,219,1270,260410,759240,35.6422987949205,32.9273186428984,602287200000
416,חדיד,618,4,43,432,25,142,1,801,0.8,0.8,,1950,310,2,68,Hadid,424,5160,193690,652890,34.9318543226548,31.9687869640518,-628480800000
417,חדרה,6500,3,32,324,0,,1,85397,84.6,79.3,,1890,150,,19,Hadera,302,1180,192560,704660,34.9184435263752,32.435606797057,-2521851640000
418,חוג'ייראת (ד'הרה) (שבט),948,2,24,241,56,,3,,,,,,460,,,,299,1360,227850,748870,35.2940867870364,32.8345490650473,-2206318840000
419,חולדה,160,4,43,432,30,143,1,776,0.8,0.8,,1930,330,15,119,Hulda,426,5230,188980,637660,34.8825059284468,31.8313246372986,-1259632800000
420,חולון,6600,5,53,513,0,123,1,186399,186.1,173.4,,1940,140,,34,Holon,505,2200,179270,658260,34.7790839610615,32.0167937053842,-944100000000
421,חולית,1239,6,62,622,38,,1,111,0.1,0.1,,1980,330,15,76,Holit,653,3430,135730,571340,34.3256656550089,31.2306055159629,318204000000
422,חולתה,253,2,21,211,1,,1,544,0.5,0.5,,1937,330,15,80,Hulata,253,1220,257320,773010,35.6098296698385,33.0515865468218,-1038708000000
423,חוסן,662,2,24,243,52,,1,939,0.9,0.9,,1949,310,9,475,Hosen,255,1320,228140,766970,35.2973545527312,32.9977503498187,-660016800000
424,חוסנייה,1332,2,24,242,56,,2,608,,,0.6,,450,,297,Hussniyya,205,1360,230220,756220,35.3194851497817,32.9008020987535,-2206318840000
425,חופית,115,4,41,411,16,141,1,775,0.8,0.8,,1955,350,,15,Hofit,409,5120,188360,699050,34.8739690254875,32.3849101169389,-470714400000
426,חוקוק,374,2,22,221,6,,1,499,0.5,0.4,,1945,330,15,3,Huqoq,214,1240,246680,753950,35.4953490003024,32.8800484912207,-786247200000
427,חורה,1303,6,62,623,99,342,2,18271,,,18.3,,270,,416,Hura,653,3481,193870,578410,34.9356963950606,31.2970920072622,-2206318840000
428,חורפיש,496,2,24,244,99,,2,5874,,,5.9,,280,,670,Hurfeish,258,1320,232670,769140,35.3458573004019,33.017270926005,-2206318840000
429,חורשים,355,4,42,421,20,142,1,297,0.3,0.3,,1955,330,15,81,Horeshim,417,5150,197440,671600,34.9710977470874,32.1375916788636,-470714400000
430,חזון,1047,2,22,222,2,,1,316,0.3,0.3,,1969,310,2,444,Hazon,209,1310,237270,756860,35.3948508859074,32.9064807606028,-28864800000
431,חיבת ציון,219,4,41,411,16,141,1,642,0.6,0.6,,1933,310,7,30,Hibbat Ziyyon,409,5120,191990,700450,34.9125049184777,32.3976297105166,-1164938400000
432,חיננית,3643,7,71,,72,,1,979,1,0.9,,1981,370,13,392,Hinnanit,710,4164,216080,709670,35.1685185382616,32.481103631019,349826400000
433,חיפה,4000,3,31,311,0,210,4,273177,244.3,217.8,28.9,,130,,98,Haifa,304,1140,201120,745460,35.0086643127048,32.8036805102662,-2206318840000
434,חירות,162,4,41,411,18,141,1,1294,1.3,1.3,,1930,310,1,60,Herut,412,5120,192160,683010,34.9148126630226,32.2403682572997,-1259632800000
435,חלוץ,1272,2,24,243,56,,1,431,0.4,0.4,,1985,370,13,735,Haluz,205,1310,229520,761730,35.3120633850356,32.9504910674616,476056800000
436,חלמיש,3573,7,74,,73,145,1,1172,1.2,1.2,,1977,370,11,559,Hallamish,711,4354,212010,656960,35.1256308180927,32.0057587805267,223596000000
437,חלץ,820,6,61,614,36,,1,455,0.5,0.4,,1950,310,1,80,Helez,633,3840,167630,609650,34.6584672872626,31.5779572493698,-628480800000
438,חמאם,993,2,22,221,65,,2,1352,,,1.3,,450,,-99,Hamam,251,1240,246180,748380,35.4898452113832,32.8298374603805,-2206318840000
439,חמד,801,4,43,432,40,133,1,1108,1.1,1.1,,1950,310,2,26,Hemed,425,5210,185110,658420,34.8408908010643,32.0184287649834,-628480800000
440,חמדיה,343,2,23,231,7,,1,379,0.4,0.4,,1942,330,15,-169,Hamadya,202,1430,249090,714060,35.5198340407117,32.5202995491299,-880945200000
441,חמדת,3646,7,75,,75,,1,182,0.2,0.2,,1980,370,11,146,Hemdat,712,4164,249940,684380,35.5279252047718,32.2526401122234,318204000000
442,חמרה,3609,7,75,,75,,1,114,0.1,0.1,,1971,310,10,-49,Hamra,712,4164,241260,678390,35.4356784866207,32.1988263806288,34207200000
443,חניאל,807,4,41,411,16,141,1,955,1,0.9,,1950,310,1,31,Hanni'el,409,5120,195410,693280,34.949036748879,32.3330532888986,-628480800000
444,חניתה,280,2,24,244,4,,1,681,0.7,0.7,,1938,330,15,342,Hanita,201,1350,216650,776980,35.1743793376968,33.0880374842356,-1007172000000
445,חנתון,1257,2,23,237,9,241,1,723,0.7,0.7,,1984,330,15,188,Hannaton,254,1340,223210,743210,35.2445062641702,32.7835389133485,444434400000
446,חספין,4005,2,29,294,71,,1,1280,1.3,1.3,,1973,370,,419,Haspin,219,1270,274620,750230,35.793682594812,32.8454567388438,97365600000
447,חפץ חיים,363,4,44,441,31,143,1,420,0.4,0.4,,1944,330,8,76,Hafez Hayyim,456,5230,181160,633020,34.8000845520912,31.7892447032051,-817869600000
448,חפצי-בה,90,2,23,232,8,,1,446,0.4,0.4,,1922,330,15,-76,Hefzi-Bah,204,1430,240240,713840,35.4256378706445,32.5185166756286,-1512093600000
449,חצב,700,6,61,611,33,143,1,1349,1.3,1.3,,1949,310,1,64,Hazav,616,3830,178280,632130,34.7697142579471,31.7811183812653,-660016800000
450,חצבה,13,6,62,625,54,,1,485,0.5,0.5,,1965,310,1,-163,Hazeva,657,3450,226670,519720,35.2797864897394,30.7679989241232,-155095200000
451,חצור-אשדוד,406,6,61,611,33,143,1,511,0.5,0.5,,1937,330,15,45,Hazor-Ashdod,616,3830,173590,631200,34.7202442352254,31.7725529381157,-1038708000000
452,חצור הגלילית,2034,2,21,213,99,,1,8873,8.8,8.6,,1953,180,,438,Hazor HaGelilit,259,1220,251150,765270,35.5435037457289,32.9819962064722,-533786400000
453,חצרים,397,6,62,623,41,344,1,771,0.8,0.8,,1946,330,15,240,Hazerim,625,3440,172690,572210,34.7135315235614,31.2405175127093,-754711200000
454,חרב לאת,422,4,41,411,16,141,1,839,0.8,0.8,,1947,310,10,28,Herev Le'et,409,5120,192410,700920,34.916955518794,32.4018781522751,-723175200000
455,חרוצים,1024,4,41,411,19,141,1,836,0.8,0.8,,1951,350,,45,Haruzim,401,5120,187440,681610,34.8647792182874,32.2276189291821,-596944800000
456,חריש,1247,3,32,323,99,,1,1001,0.9,0.9,,1982,350,,115,Qazir-Harish,307,1450,204780,707200,35.0483412987273,32.4587390038739,381362400000
457,חרמש,3717,7,71,,72,,1,191,0.2,0.2,,1982,370,9,238,Hermesh,710,4164,211420,703270,35.1189972669942,32.4233681239153,381362400000
458,חרשים,1209,2,24,243,56,,1,278,0.3,0.3,,1980,370,19,814,Harashim,205,1320,231000,762410,35.3278996532549,32.9566077876298,318204000000
459,חשמונאים,3770,7,74,,73,,1,2661,2.7,2.7,,1985,190,,252,Hashmona'im,711,4354,202360,648720,35.0236478350556,31.9313451700165,476056800000
460,טבריה,6700,2,22,221,0,,1,41984,41.3,38.8,,,160,,12,Tiberias,207,1240,249420,743690,35.5242962498805,32.7874649952827,-2206318840000
461,טובא-זנגרייה,962,2,21,213,99,,2,6029,,,6,,280,,294,Tuba-Zangariyye,259,1220,255630,763420,35.5913581115014,32.9651763540018,-2206318840000
462,טורעאן,498,2,25,237,99,,2,12830,,,12.8,,270,,245,Tur'an,251,1410,235450,742420,35.3751472796498,32.7763055667736,-2206318840000
463,טייבה,2730,4,41,412,0,141,2,39559,,,39.5,,260,,64,Tayibe,402,5150,200840,685720,35.0068574892108,32.2649836576992,-2206318840000
464,טייבה (בעמק),497,2,23,233,8,,2,1667,,,1.7,,450,,95,Tayibe(Baemeq),204,1420,242020,723320,35.444810068434,32.6039651215649,-2206318840000
465,טירה,2720,4,41,412,0,141,2,24046,,,24,,260,,61,Tire,403,5150,195770,682250,34.9531347447896,32.2335967957778,-2206318840000
466,טירת יהודה,663,4,42,422,25,142,1,1154,1.2,1.2,,1949,310,2,57,Tirat Yehuda,424,5160,193890,657870,34.9338383171615,32.0137011635596,-660016800000
467,טירת כרמל,2100,3,31,311,0,223,1,18747,18.7,18.1,,1949,170,,45,Tirat Karmel,355,1182,197680,740800,34.9720455427241,32.7615989611362,-660016800000
468,טירת צבי,268,2,23,231,7,,1,715,0.7,0.7,,1937,330,3,-219,Tirat Zevi,202,1430,249970,703030,35.5288430142994,32.4208151295132,-1038708000000
469,טל-אל,1181,2,24,243,56,241,1,1041,1,1,,1980,370,13,116,Tal-El,205,1330,216990,759080,35.1780691120883,32.9266402874695,318204000000
470,טל שחר,462,1,11,112,26,,1,1180,1.2,1.2,,1948,310,1,118,Tal Shahar,151,7004,190870,634740,34.9025560487834,31.8050403472698,-691639200000
471,טללים,1177,6,62,626,48,,1,204,0.2,0.2,,1980,330,15,361,Telalim,620,3450,177960,544640,34.7699830535711,30.9920606951413,318204000000
472,טלמון,3788,7,74,,73,,1,3321,3.3,3.3,,1989,190,,584,Talmon,711,4354,213210,649360,35.1383798457131,31.9372282385637,602287200000
473,טמרה,8900,2,24,241,0,241,2,31146,,,31.1,,260,,95,Tamra,263,1340,218210,751010,35.1911236916167,32.8538766247103,-2206318840000
474,טמרה (יזרעאל),547,2,23,233,8,,2,1464,,,1.5,,450,,231,Tamra (Yizre'el),204,1420,238160,726690,35.4037568274559,32.6344248997026,-2206318840000
475,טנא,3743,7,77,,78,,1,727,0.7,0.7,,1983,370,11,554,Tene,715,4352,195850,586960,34.9562905363822,31.374245852444,412898400000
476,טפחות,1214,2,22,222,2,,1,470,0.5,0.5,,1980,310,2,83,Tefahot,209,1240,239830,752650,35.4221220771834,32.8684755304256,318204000000
477,יאנוח-ג'ת,1295,2,24,243,99,,2,6092,,,6.1,,280,,468,Yanuh-Jat,255,1320,223270,765060,35.2452369679782,32.9805564212244,-2206318840000
478,יבול,1232,6,62,622,38,,1,376,0.4,0.4,,1981,310,10,85,Yevul,653,3430,134790,566880,34.3161766574955,31.1903169007038,349826400000
479,יבנאל,46,2,22,222,99,,1,4029,4,4,,1901,190,,12,Yavne'el,251,1240,247790,735100,35.5066347706034,32.7100530699083,-2174782840000
480,יבנה,2660,4,44,441,0,143,1,36506,36.5,35.6,,1949,160,,30,Yavne,404,5230,175210,642850,34.7368162228311,31.8776769872918,-660016800000
481,יגור,96,3,31,311,12,223,1,1501,1.5,1.4,,1922,330,15,16,Yagur,301,1160,207550,738590,35.0774040893048,32.7418224413741,-1512093600000
482,יגל,798,4,43,432,40,133,1,844,0.8,0.8,,1950,310,1,40,Yagel,425,5280,188690,655100,34.8788894034281,31.9885921238466,-628480800000
483,יד בנימין,577,4,44,441,31,143,1,3657,3.7,3.7,,1949,190,,64,Yad Binyamin,456,5230,183230,633930,34.8219064890613,31.7975187709693,-660016800000
484,יד השמונה,1134,1,11,111,26,444,1,116,0.1,0.1,,1978,320,10,684,Yad HaShemona,151,6129,208580,635230,35.0895736889726,31.8097653800921,255132000000
485,יד חנה,758,4,41,412,16,141,1,698,0.7,0.7,,1950,330,15,53,Yad Hanna,409,5150,200780,692490,35.0060878271288,32.3260319458892,-628480800000
486,יד מרדכי,358,6,61,614,36,,1,666,0.7,0.6,,1943,330,15,42,Yad Mordekhay,633,3840,158140,610920,34.5584198552022,31.5889441350655,-849405600000
487,יד נתן,775,6,61,612,50,,1,574,0.6,0.6,,1953,310,6,75,Yad Natan,634,3820,172130,617890,34.705475194221,31.6524617191155,-533786400000
488,"יד רמב""ם",64,4,43,432,30,143,1,1027,1,1,,1955,310,2,86,Yad Rambam,426,5220,190720,645280,34.9006606386836,31.9000881765662,-470714400000
489,ידידה,1144,1,11,111,26,444,1,209,0.2,0.2,,1964,340,,728,Yedida,151,6129,210090,635620,35.1055168800064,31.8132959206213,-186717600000
490,יהוד,9400,4,42,422,0,132,1,28200,28.2,27.8,,1948,160,,40,Yehud,411,2370,189400,660020,34.8862488091328,32.0329794381298,-691639200000
491,יהל,1158,6,62,625,53,,1,181,0.2,0.2,,1976,330,15,181,Yahel,608,3460,212200,443760,35.1291686870983,30.0828169788143,191973600000
492,יובל,2009,2,21,211,55,,1,637,0.6,0.6,,1952,310,1,268,Yuval,253,1210,256120,794640,35.5978515773122,33.2466487527787,-565408800000
493,יובלים,1226,2,24,241,56,241,1,1071,1.1,1.1,,1982,370,7,190,Yuvallim,205,1360,225630,753770,35.270408756692,32.8787464321925,381362400000
494,יודפת,1112,2,24,241,56,241,1,645,0.6,0.6,,1960,320,15,429,Yodefat,205,1360,225760,749120,35.2717662173274,32.8368172915766,-312948000000
495,יונתן,4007,2,29,293,71,,1,566,0.6,0.6,,1976,320,2,548,Yonatan,219,1270,274620,760490,35.7942953336601,32.9379643800554,191973600000
496,יושיביה,803,6,62,621,39,,1,432,0.4,0.4,,1950,310,2,132,Yoshivya,653,3482,162870,594790,34.6091747101957,31.4437213027294,-628480800000
497,יזרעאל,452,2,23,234,8,,1,552,0.6,0.5,,1948,330,15,88,Yizre'el,204,1420,230400,718660,35.3209674553584,32.5621206758151,-691639200000
498,יחיעם,409,2,24,243,4,,1,442,0.4,0.4,,1946,330,15,365,Yehi'am,201,1350,220980,766860,35.2207413882632,32.9967920461886,-754711200000
499,יטבתה,866,6,62,625,53,,1,666,0.7,0.6,,1951,330,15,81,Yotvata,608,3460,205590,422770,35.0608779867835,29.8934116271579,-596944800000
500,"ייט""ב",3607,7,75,,75,,1,225,0.2,0.2,,1970,320,15,-106,Yitav,712,4164,240030,650640,35.4220400330422,31.9486021293419,2671200000
501,יכיני,811,6,61,614,37,,1,615,0.6,0.6,,1950,310,1,129,Yakhini,653,3840,161990,599120,34.5996670257297,31.4827274212869,-628480800000
502,ים המלח - בתי מלון,1772,6,62,624,51,,,,,,,,520,,,,656,3480,234500,567480,35.362281659051,31.1986966955847,-2206318840000
503,ינוב,753,4,41,411,18,141,1,854,0.9,0.8,,1950,310,1,46,Yanuv,412,5120,195450,690330,34.9495361068889,32.306452376728,-628480800000
504,ינון,2011,6,61,611,33,143,1,1080,1.1,1.1,,1952,310,1,65,Yinnon,616,3830,179370,627850,34.7813973667943,31.7425592987087,-565408800000
505,יסוד המעלה,29,2,21,211,99,,1,1638,1.6,1.6,,1883,350,,95,Yesud HaMa'ala,259,1220,256630,773580,35.6024653895701,33.056749665364,-2742776440000
506,יסודות,440,4,44,441,31,143,1,793,0.8,0.8,,1948,320,8,100,Yesodot,456,5230,187380,635890,34.8656631268339,31.8153185687042,-691639200000
507,יסעור,575,2,24,246,4,241,1,627,0.6,0.6,,1949,330,15,22,Yas'ur,201,1330,215850,756220,35.1658918905116,32.900849124172,-660016800000
508,יעד,1138,2,24,241,56,241,1,690,0.7,0.7,,1975,310,1,263,Ya'ad,205,1360,223070,753770,35.2430530690646,32.8787578760255,160437600000
509,יעל,1117,2,23,234,8,,,,,,,,510,,72,Ya'el,204,1420,229180,717520,35.3079649573013,32.5518523460936,-2206318840000
510,יעף,1044,4,41,411,18,141,1,271,0.3,0.3,,1968,350,,56,Ye'af,412,5120,197020,686050,34.9663072733328,32.2678895722351,-60487200000
511,יערה,795,2,24,244,52,,1,640,0.5,0.5,,1950,310,1,163,Ya'ara,255,1350,217780,774690,35.1864870244116,33.0673919174765,-628480800000
512,יפיע,499,2,25,237,99,,2,17674,,,17.7,,270,,294,Yafi,257,1410,226160,732220,35.2759166167494,32.6844276279512,-2206318840000
513,יפית,3566,7,75,,75,,1,126,0.1,0.1,,1980,310,1,-238,Yafit,712,4164,245000,663420,35.4749442978561,32.0637510249607,318204000000
514,יפעת,134,2,23,234,9,,1,1012,1,1,,1926,330,15,128,Yif'at,254,1440,221270,731450,35.2237749377251,32.6775033311607,-1385863200000
515,יפתח,453,2,21,212,1,,1,496,0.5,0.5,,1948,330,15,420,Yiftah,253,1210,251850,781540,35.5515676267738,33.1286727277692,-691639200000
516,יצהר,3749,7,72,,72,,1,1220,1.2,1.2,,1983,370,11,779,Yizhar,710,4164,222500,675020,35.2367070257522,32.1686436645733,412898400000
517,יציץ,759,4,43,432,30,143,1,797,0.8,0.8,,1950,310,1,72,Yaziz,426,5230,186890,641180,34.8603110734142,31.8630107619044,-628480800000
518,יקום,417,4,41,411,19,141,1,675,0.7,0.6,,1947,330,15,15,Yaqum,401,5120,185290,683970,34.8418859297824,32.2488370620575,-723175200000
519,יקיר,3647,7,73,,72,145,1,1716,1.7,1.7,,1981,370,11,396,Yaqir,710,4164,210980,672920,35.1145894303834,32.1496784086885,349826400000
520,יקנעם (מושבה),241,2,23,235,13,,1,1318,1.3,1.3,,1935,310,10,58,Yoqne'am(Moshava),254,1420,211060,728900,35.1149409884341,32.6544792339239,-1101866400000
521,יקנעם עילית,240,2,23,235,0,223,1,20760,20.8,19.2,,1950,160,,151,Yoqne'am Illit,222,1420,209240,728130,35.095549943722,32.6475207050568,-628480800000
522,יראון,623,2,21,212,1,,1,400,0.4,0.4,,1949,330,15,680,Yir'on,253,1230,242860,775820,35.4550855728471,33.0773299466632,-660016800000
523,ירדנה,2026,2,23,231,7,,1,351,0.4,0.3,,1952,310,1,-236,Yardena,202,1430,253280,719060,35.5646081749211,32.565265529092,-565408800000
524,ירוחם,831,6,62,626,99,,1,8752,8.5,7.9,,1951,180,,524,Yeroham,612,3450,193140,544130,34.9289242296521,30.9878975064191,-596944800000
525,ירושלים,3000,1,11,111,0,410,4,829863,522.2,509.6,307.6,,120,,715,Jerusalem,101,6120,220860,632210,35.2192571935777,31.7825807614178,-2206318840000
526,ירחיב,718,4,42,421,20,142,1,924,0.9,0.9,,1949,310,1,58,Yarhiv,417,5150,197130,673280,34.9677731138202,32.1527355044317,-660016800000
527,ירכא,502,2,24,243,99,,2,15806,,,15.7,,270,,255,Yirka,252,1330,219730,762140,35.2073649390541,32.9542342731891,-2206318840000
528,ירקונה,183,4,42,421,20,142,1,407,0.4,0.4,,1932,310,1,29,Yarqona,417,5140,190490,672460,34.897413026489,32.1451897759239,-1196560800000
529,ישע,916,6,62,622,38,,1,345,0.3,0.3,,1957,310,1,118,Yesha,653,3430,143060,573150,34.4024549838506,31.2474312691793,-407556000000
530,ישעי,805,1,11,112,26,444,1,690,0.7,0.7,,1950,310,2,196,Yish'i,151,7004,196820,628790,34.9655275122083,31.7515147424735,-628480800000
531,ישרש,828,4,43,432,30,143,1,891,0.9,0.9,,1950,310,1,80,Yashresh,426,5220,185730,646960,34.8478528462049,31.9151014988396,-628480800000
532,יתד,1227,6,62,622,38,,1,392,0.4,0.4,,1981,310,1,84,Yated,653,3430,135960,568600,34.3283073417563,31.2059122810604,349826400000
533,כאבול,504,2,24,241,99,241,2,12802,,,12.8,,270,,74,Kabul,263,1340,219740,752720,35.2074689622157,32.8692961241286,-2206318840000
534,כאוכב אבו אל-היג'א,505,2,24,241,99,241,2,3157,,,3.2,,290,,369,Kaokab Abu Al-Hija,261,1360,223590,748430,35.2485858236001,32.8306059595879,-2206318840000
535,כברי,576,2,24,245,4,,1,935,0.9,0.9,,1949,330,15,96,Kabri,201,1350,214180,769540,35.1479658436607,33.0209449678548,-660016800000
536,כדורי,371,2,22,222,3,,1,169,0.1,0.1,,1931,340,,140,Kadoorie,206,1240,238270,734640,35.4050892405889,32.7061088304503,-1228096800000
537,כדיתה,1338,2,21,212,2,,1,169,0.2,0.2,,2009,370,10,764,Kaddita,209,1230,243700,767790,35.4638693456076,33.0049089704718,1233439200000
538,כוכב השחר,3564,7,74,,73,445,1,1596,1.6,1.6,,1977,370,11,577,Kokhav HaShahar,711,4354,233070,651790,35.3484423335804,31.9590778170212,223596000000
539,כוכב יאיר,1224,4,42,421,99,141,1,9202,9.2,9.1,,1981,180,,95,Kokhav Ya'ir,455,5150,199780,680910,34.9957066765675,32.2215904824577,349826400000
540,כוכב יעקב,3779,7,74,,73,445,1,6694,6.7,6.7,,1985,180,,758,Kokhav Ya'aqov,711,4354,223010,643050,35.2419961146957,31.8803348217332,476056800000
541,כוכב מיכאל,824,6,61,614,36,,1,959,1,1,,1950,310,1,95,Kokhav Mikha'el,633,3840,168680,615270,34.6692384390941,31.6286866555775,-628480800000
542,כורזים,1252,2,21,213,55,,1,373,0.4,0.4,,1983,350,7,165,Korazim,253,1220,251870,757370,35.5509283514584,32.9107441235585,412898400000
543,כחל,1210,2,21,212,55,,1,305,0.3,0.3,,1980,310,1,103,Kahal,253,1220,248060,755160,35.5101329045407,32.890923524379,318204000000
544,כחלה,1367,6,62,623,69,,2,94,,,0.1,,450,,531,Kochlea,624,3481,205040,577530,35.0530304062871,31.2893470556672,-2206318840000
545,כיסופים,840,6,62,622,38,,1,201,0.2,0.2,,1951,330,15,85,Kissufim,653,3430,142840,587320,34.3990591732568,31.3752043961825,-596944800000
546,כישור,1153,2,24,243,56,,1,154,0.2,0.2,,1976,330,15,486,Kishor,205,1310,223710,761230,35.2499264042704,32.9460207898515,191973600000
547,כליל,1183,2,24,243,4,,1,517,0.5,0.5,,1979,370,10,174,Kelil,201,1350,219110,765140,35.2007329851881,32.9812843765245,286668000000
548,כלנית,1229,2,22,222,2,,1,190,0.2,0.2,,1981,310,2,16,Kallanit,209,1240,242960,753390,35.4555833563698,32.875085260744,349826400000
549,כמאנה,1331,2,24,242,56,,2,1375,,,1.4,,450,,502,Kamane,205,1310,233140,757600,35.3507158496409,32.9132126159159,-2206318840000
550,כמהין,1291,6,62,626,48,,1,145,0.1,0.1,,1988,310,1,225,Kemehin,620,3450,145540,535800,34.4312182916053,30.9107475280374,570664800000
551,כמון,1201,2,24,242,56,,1,1326,1.3,1.3,,1980,370,7,561,Kammon,205,1310,233890,757270,35.3587281277568,32.9102274460757,318204000000
552,כנות,2006,6,61,611,33,143,1,267,0.3,0.2,,1952,340,,69,Kannot,616,3830,176620,634440,34.7520876743069,31.8018891931771,-565408800000
553,כנף,4028,2,29,293,71,,1,387,0.4,0.4,,1991,310,1,291,Kanaf,219,1270,265820,752860,35.6998183026456,32.8695775300626,665359200000
554,כנרת (מושבה),63,2,22,221,6,,1,633,0.6,0.6,,1909,350,,-73,Kinneret(Moshava),251,1240,253240,736780,35.5648225330065,32.7250478923872,-1922322040000
555,כנרת (קבוצה),57,2,22,221,6,,1,665,0.7,0.6,,1908,330,15,-171,Kinneret(Qevuza),214,1240,252980,735510,35.562003347076,32.71360438375,-1953944440000
556,כסיפה,1059,6,62,623,99,,2,18124,,,18.1,,270,,465,Kuseife,653,3481,208210,572450,35.0863801255758,31.2435648645776,-2206318840000
557,כסלון,859,1,11,111,26,444,1,441,0.4,0.4,,1952,310,10,606,Kesalon,151,7004,204760,631270,35.0492907998448,31.7740099032243,-565408800000
558,כסרא-סמיע,1296,2,24,243,99,,2,7868,,,7.9,,280,,624,Kisra-Sumei,255,1320,228790,763870,35.304278157656,32.9697932989683,-2206318840000
559,כעביה-טבאש-חג'אג'רה,978,2,25,237,99,242,2,4762,,,4.8,,290,,163,Ka'abiyye-Tabbash-Hajajre,254,1440,217690,739450,35.1855905840488,32.7496400087385,-2206318840000
