age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,18.77,68.22,13.01
12-15,65.5,54.4,14.4,0,28.74,30.74,40.52
16-19,89.3,78.1,45.7,0.1,50.27,2.68,47.06
20-29,85.7,77,54.5,0.7,59.06,-5.25,46.2
30-39,89.1,82,59.6,1.7,63.2,-10.92,47.72
40-49,90.6,84.6,66.8,2.9,69.95,-15.56,45.61
50-59,91.1,86.3,73,5.9,75.69,-15.22,39.54
60-69,92.8,89.8,80.3,31.2,81.87,-11.72,29.85
70-79,90.9,89.5,86,50.1,88.32,-11.27,22.95
80-89,90.9,89.1,83.6,52.1,87.3,-9.45,22.14
90+,84.4,81.8,76.2,50.2,84.68,-14.4,29.71
