age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,2947,5,26650,1902.2,18518.5,2899.5,0,0,0,0,0,0
12-15,12512,74,8605,3466.6,3449.9,3559.8,0,0,3,0,0,1.2
16-19,12839,2437,5635,3281.1,3714,4916.6,0,0,1,0,0,0.9
20-29,26465,5852,8812,2926.8,3053.9,4709.8,1,0,2,0.1,0,1.1
30-39,22520,5349,6801,2603.1,3074.7,4954.1,2,1,9,0.2,0.6,6.6
40-49,23150,3401,5232,2696.7,2746.8,4913.1,7,1,16,0.8,0.8,15
50-59,16199,1769,2975,2275,2226.1,4250.6,17,7,23,2.4,8.8,32.9
60-69,13728,995,1817,2140.5,2222.7,3353.9,38,9,31,5.9,20.1,57.2
70-79,8181,397,711,1743.9,1632.1,2425.2,69,10,19,14.7,41.1,64.8
80-89,2972,164,287,1445.3,1041.1,2051.2,75,8,32,36.5,50.8,228.7
90+,790,49,97,1733.4,683.4,2361.8,33,2,15,72.4,27.9,365.2
