age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.7,0.1,0,15.4,77.2,7.3
12-15,65.6,54.6,14.8,0,26.3,42.8,30.9
16-19,89.3,78.2,45.9,0.2,25.7,22.5,51.8
20-29,85.6,77,54.7,0.8,23.5,13.4,63.1
30-39,88.9,81.9,59.7,2,26.2,10.6,63.2
40-49,90.5,84.7,67,3.4,27,9.1,63.9
50-59,91.2,86.5,73.3,7.1,26.8,6.9,66.3
60-69,93.1,90.3,80.8,33.8,41.1,7.8,51.1
70-79,92.1,90.6,87.3,54.3,51.5,4.4,44.1
80+,95.3,93.2,87.5,57.8,54,6.2,39.8
