age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,732,403,2347,393.7,455.4,252.4,0,0,1,0,0,0.1
12-15,275,589,483,168.4,307.6,181.7,1,0,0,0.6,0,0
16-19,124,1256,275,82.7,416,210.2,0,0,0,0,0,0
20-29,312,4581,850,102,556.5,485.7,0,0,1,0,0,0.6
30-39,548,5640,1006,174.8,745.9,792.5,1,5,0,0.3,0.7,0
40-49,665,5548,778,223.7,787.5,777.5,2,8,2,0.7,1.1,2
50-59,995,5167,613,427.3,897.9,1030.8,5,13,4,2.1,2.3,6.7
60-69,4092,6370,656,1343.2,1681.4,1134.6,21,23,9,6.9,6.1,15.6
70-79,5248,5307,498,1962.2,2319.7,2188.8,33,43,15,12.3,18.8,65.9
80+,3814,2787,487,2535.1,2516.4,2825.6,73,67,23,48.5,60.5,133.4
