age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,345426,270982,635971,54.3,42.6,376,0.1
16-19,500856,433746,591331,84.7,73.4,151392,25.6
20-29,1078231,970561,1319364,81.7,73.6,503175,38.1
30-39,1038723,956464,1207243,86,79.2,545964,45.2
40-49,980925,913932,1110965,88.3,82.3,621226,55.9
50-59,781897,737127,874608,89.4,84.3,562596,64.3
60-69,684615,658135,747217,91.6,88.1,554434,74.2
70-79,474348,463326,526929,90,87.9,425558,80.8
80-89,214696,208976,238729,89.9,87.5,185502,77.7
90+,48814,47005,58687,83.2,80.1,40009,68.2
