age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,38,0,350,10.8,0,138.2,0,0,0,0,0,0
16-19,21,50,116,5.9,54.9,95.7,0,0,1,0,0,0.8
20-29,64,148,324,7.7,62.8,154.8,0,2,5,0,0.8,2.4
30-39,141,188,334,17.4,88.7,218.2,0,0,10,0,0,6.5
40-49,129,130,283,15.7,86.3,240,1,0,24,0.1,0,20.4
50-59,63,38,145,9.2,40.5,181.1,1,2,32,0.1,2.1,40
60-69,66,38,85,10.5,74,146.2,4,4,29,0.6,7.8,49.9
70-79,51,11,50,11.1,39.8,134,7,0,11,1.5,0,29.5
80-89,28,12,32,14,69.1,171,1,0,8,0.5,0,42.8
90+,4,2,4,9.4,27.1,56.7,0,0,1,0,0,14.2
