age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
12-15,363650,298646,555,57.2,47,0.1,58.21,41.78,0.01
16-19,515600,447644,198241,87.2,75.7,33.5,62.83,21.27,15.9
20-29,1106497,987399,637121,83.9,74.8,48.3,65.26,16.37,18.37
30-39,1057435,968750,647407,87.6,80.2,53.6,68.98,13.03,17.99
40-49,993892,923026,689250,89.5,83.1,62,75.38,10.83,13.79
50-59,789724,743218,603104,90.3,85,69,79.84,9.29,10.87
60-69,688765,662109,575257,92.2,88.6,77,85.23,7.85,6.92
70-79,476429,465773,436764,90.4,88.4,82.9,87.6,7.13,5.27
80-89,215627,210080,191169,90.3,88,80.1,84.72,7.94,7.35
90+,49065,47251,41810,83.6,80.5,71.2,74.77,12.35,12.88
