period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,219,563,13.59,34.95
3_Month,5-11,2411,8438,9.39,32.88
6_Month,5-11,3473,14150,5.35,21.8
1_Year,5-11,4892,51447,0.92,9.71
All,5-11,4892,52771,0.68,7.3
1_Month,12-15,232,205,20.19,17.84
3_Month,12-15,1564,1962,13.77,17.27
6_Month,12-15,2563,3583,7.92,11.07
1_Year,12-15,8845,17648,3.59,7.16
All,12-15,8888,18778,2.57,5.43
1_Month,16-19,230,66,25.05,7.19
3_Month,16-19,2973,961,21.56,6.97
6_Month,16-19,4403,1616,13.69,5.02
1_Year,16-19,14598,10115,7.2,4.99
All,16-19,14787,11189,4.8,3.63
1_Month,20-29,701,129,26.14,4.81
3_Month,20-29,9228,2467,21.15,5.65
6_Month,20-29,13744,4008,13.45,3.92
1_Year,20-29,36951,19536,8.35,4.41
All,20-29,37358,21627,5.72,3.31
1_Month,30-39,845,168,24.75,4.92
3_Month,30-39,10729,3117,19.68,5.72
6_Month,30-39,15399,4946,12.42,3.99
1_Year,30-39,36037,18460,7.36,3.77
All,30-39,36387,19887,5.51,3.01
1_Month,40-49,918,172,23.82,4.46
3_Month,40-49,10029,2436,18.4,4.47
6_Month,40-49,14285,3790,11.68,3.1
1_Year,40-49,32356,13694,7.13,3.02
All,40-49,32675,14615,5.48,2.45
1_Month,50-59,642,102,16.69,2.65
3_Month,50-59,7108,1445,13.76,2.8
6_Month,50-59,10079,2235,9.21,2.04
1_Year,50-59,21047,7477,6.53,2.32
All,50-59,21248,7921,5.07,1.89
1_Month,60-69,543,65,11.93,1.43
3_Month,60-69,5468,820,9.61,1.44
6_Month,60-69,7478,1234,6.73,1.11
1_Year,60-69,13486,3960,5.37,1.58
All,60-69,13631,4154,4.35,1.33
1_Month,70-79,425,31,9.03,0.66
3_Month,70-79,3445,359,6.73,0.7
6_Month,70-79,4554,504,4.91,0.54
1_Year,70-79,6913,1261,4.19,0.76
All,70-79,6989,1344,3.55,0.68
1_Month,80+,292,20,11.59,0.79
3_Month,80+,2492,249,8.53,0.85
6_Month,80+,3050,340,6.37,0.71
1_Year,80+,4446,753,5.34,0.9
All,80+,4521,815,4.31,0.78
